order_line_id,order_id,product_id,quantity,unit_price,discount_rate,source_row
L000153,O00066,P017,1,300.00,0.10,154
L000154,O00066,P009,5,93.00,0.05,155
L000155,O00066,P016,5,231.00,0.05,156
L000156,O00067,P017,5,300.00,0,157
L000157,O00067,P019,4,78.00,0.00,158
L000158,O00067,P011,5,80.00,0.20,159
L000159,O00067,P024,1,81.00,0.20,160
L000160,O00068,P004,3,123.00,0.05,161
L000161,O00068,P023,3,68.00,0.00,162
L000162,O00068,P012,5,134.00,0.10,163
L000163,O00069,P009,5,93.00,0.10,164
L000164,O00069,P012,3,134.00,0.10,165
L000165,O00070,P024,1,81.00,0.10,166
L000166,O00070,P010,2,211.00,0.10,167
L000167,O00070,P002,5,284.00,0.20,168
L000168,O00071,P004,5,123.00,0.00,169
L000169,O00072,P013,5,271.00,0.20,170
L000170,O00072,P009,1,93.00,0.10,171
L000171,O00073,P008,4,188.00,0.00,172
L000172,O00073,P003,3,199.00,0.05,173
L000173,O00074,P019,2,78.00,0.10,174
L000174,O00074,P008,2,188.00,0.10,175
L000175,O00074,P020,3,189.00,0.10,176
L000176,O00075,P001,2,122.00,0.20,177
L000177,O00075,P009,4,93.00,0.05,178
L000178,O00075,P017,1,300.00,0.10,179
L000179,O00076,P024,4,81.00,0.20,180
L000180,O00076,P012,4,134.00,0.10,181
L000181,O00076,P007,2,35.00,0.20,182
L000182,O00077,P018,3,269.00,0.10,183
L000183,O00077,P008,2,188.00,0.05,184
L000184,O00077,P020,4,189.00,0.00,185
L000185,O00077,P015,1,254.00,0.10,186
L000186,O00078,P023,4,68.00,0.00,187
L000187,O00078,P012,1,134.00,0,188
L000188,O00078,P004,1,123.00,0.05,189
L000189,O00078,P007,3,35.00,0.20,190
L000190,O00079,P017,3,300.00,0.05,191
L000191,O00079,P021,5,249.00,0.20,192
L000192,O00079,P022,4,134.00,0.05,193
L000193,O00080,P004,1,123.00,0.10,194
L000194,O00080,P018,3,269.00,0.05,195
L000195,O00081,P016,2,231.00,0.20,196
L000196,O00081,P004,2,123.00,0.10,197
L000197,O00081,P005,5,65.00,0.10,198
L000198,O00081,P001,1,122.00,0.10,199
L000199,O00082,P012,2,134.00,0.10,200
L000200,O00082,P001,5,122.00,0.10,201
L000201,O00082,P005,4,65.00,0.20,202
L000202,O00082,P010,3,211.00,0.20,203
L000203,O00083,P010,3,211.00,0.10,204
L000204,O00083,P013,4,271.00,0.20,205
L000205,O00084,P004,5,123.00,0.05,206
L000206,O00084,P007,5,35.00,0.10,207
L000207,O00084,P022,5,134.00,0.20,208
L000208,O00084,P024,3,81.00,0.10,209
L000209,O00085,P016,5,231.00,0.05,210
L000210,O00086,P021,3,249.00,0.05,211
L000211,O00086,P024,1,81.00,0.05,212
L000212,O00087,P001,2,122.00,0.20,213
L000213,O00088,P022,4,134.00,0.00,214
L000214,O00089,P021,2,249.00,0.20,215
L000215,O00090,P018,3,269.00,0.00,216
L000216,O00090,P013,1,271.00,0.05,217
L000217,O00090,P004,1,123.00,0.05,218
L000218,O00091,P002,4,284.00,0,219
L000219,O00091,P018,4,269.00,0.05,220
L000220,O00091,P022,5,134.00,0.20,221
L000221,O00091,P021,1,249.00,0.00,222
L000222,O00092,P006,3,196.00,0.00,223
L000223,O00092,P015,1,254.00,0.20,224
L000224,O00093,P009,1,93.00,0.10,225
L000225,O00093,P004,3,123.00,0.10,226
L000226,O00094,P011,3,80.00,0.20,227
L000227,O00094,P010,1,211.00,0.05,228
L000228,O00094,P019,1,78.00,0.00,229
L000229,O00095,P008,2,188.00,0.05,230
L000230,O00096,P013,4,271.00,0.05,231
L000231,O00096,P004,2,123.00,0.10,232
L000232,O00097,P007,4,35.00,0.05,233
L000233,O00097,P020,3,189.00,0.05,234
L000234,O00097,P020,4,189.00,0.05,235
L000235,O00098,P014,5,294.00,0.05,236
L000236,O00098,P024,3,81.00,0.00,237
L000237,O00098,P020,4,189.00,0.00,238
L000238,O00098,P019,2,78.00,0.05,239
L000239,O00099,P021,1,249.00,0.00,240
L000240,O00099,P018,5,269.00,0.05,241
L000241,O00099,P019,1,78.00,0.05,242
L000242,O00099,P019,4,78.00,0.05,243
L000243,O00100,P019,3,78.00,0.00,244
L000244,O00100,P015,4,254.00,0.10,245
L000245,O00100,P014,2,294.00,0.20,246
L000246,O00101,P013,3,271.00,0.20,247
L000247,O00102,P019,5,78.00,0.00,248
L000248,O00103,P008,3,188.00,0.05,249
L000249,O00103,P013,5,271.00,0.1,250
L000250,O00104,P011,4,80.00,0.10,251
L000251,O00104,P011,5,80.00,0.20,252
L000252,O00104,P016,4,231.00,0.10,253
L000253,O00105,P021,2,249.00,0.20,254
L000254,O00106,P010,5,211.00,0.10,255
L000255,O00106,P021,2,249.00,0.20,256
L000256,O00107,P023,1,68.00,0.10,257
L000257,O00108,P013,5,271.00,0.00,258
L000258,O00108,P021,1,249.00,0.00,259
L000259,O00109,P014,4,294.00,0.00,260
L000260,O00109,P023,5,68.00,0.20,261
L000261,O00109,P011,2,80.00,0.10,262
L000262,O00110,P019,4,78.00,0.10,263
L000263,O00110,P014,5,294.00,0.10,264
L000264,O00111,P018,4,269.00,0.05,265
L000265,O00112,P024,4,81.00,0.10,266
L000266,O00112,P015,2,254.00,0.10,267
L000267,O00113,P017,2,300.00,0.05,268
L000268,O00113,P017,3,300.00,0.20,269
L000269,O00114,P024,2,81.00,0.00,270
L000270,O00115,P006,2,196.00,0.10,271
L000271,O00115,P012,1,134.00,0.00,272
L000272,O00116,P016,4,231.00,0.10,273
L000273,O00116,P012,5,134.00,0.20,274
L000274,O00117,P001,2,122.00,0.20,275
L000275,O00117,P002,3,284.00,0.20,276
L000276,O00117,P021,4,249.00,0.00,277
L000277,O00118,P010,5,211.00,0.10,278
L000278,O00119,P009,1,93.00,0.10,279
L000279,O00119,P008,5,188.00,0.10,280
L000280,O00119,P016,5,231.00,0.2,281
L000281,O00120,P003,2,199.00,0.20,282
L000282,O00120,P008,4,188.00,0.05,283
L000283,O00121,P012,5,134.00,0.00,284
L000284,O00121,P018,2,269.00,0.20,285
L000285,O00122,P021,5,249.00,0.00,286
L000286,O00122,P023,5,68.00,0.20,287
L000287,O00122,P023,3,68.00,0.20,288
L000288,O00122,P006,5,196.00,0.20,289
L000289,O00123,P003,3,199.00,0.10,290
L000290,O00123,P013,2,271.00,0.05,291
L000291,O00123,P022,3,134.00,0.10,292
L000292,O00123,P019,5,78.00,0.10,293
L000293,O00124,P005,4,65.00,0.10,294
L000294,O00124,P019,4,78.00,0.05,295
L000295,O00124,P002,5,284.00,0.10,296
L000296,O00125,P006,1,196.00,0.10,297
L000297,O00125,P018,5,269.00,0.10,298
L000298,O00126,P014,3,294.00,0.10,299
L000299,O00126,P012,4,134.00,0.20,300
L000300,O00126,P001,5,122.00,0.10,301
L000301,O00127,P016,4,231.00,0.20,302
L000302,O00127,P013,3,271.00,0.00,303
L000303,O00127,P013,5,271.00,0.00,304
L000304,O00128,P016,2,231.00,0.20,305
L000305,O00129,P003,5,199.00,0.00,306
L000306,O00129,P023,2,68.00,0.00,307
L000307,O00129,P016,5,231.00,0.10,308
L000308,O00130,P022,4,134.00,0.00,309
L000309,O00130,P006,4,196.00,0.05,310
L000310,O00130,P002,2,284.00,0.00,311
L000311,O00130,P015,4,254.00,0.2,312
L000312,O00131,P020,3,189.00,0.05,313
L000313,O00131,P012,3,134.00,0.10,314
L000314,O00131,P012,1,134.00,0.10,315
L000315,O00132,P017,2,300.00,0.05,316
L000316,O00132,P016,2,231.00,0.20,317
L000317,O00132,P021,4,249.00,0.10,318
L000318,O00132,P021,5,249.00,0.05,319
L000319,O00133,P003,2,199.00,0.05,320
L000320,O00133,P024,2,81.00,0.20,321
L000321,O00133,P018,4,269.00,0.20,322
L000322,O00133,P022,3,134.00,0.00,323
L000323,O00134,P022,1,134.00,0.10,324
L000324,O00135,P020,5,189.00,0.05,325
L000325,O00135,P010,4,211.00,0.20,326
L000326,O00136,P010,2,211.00,0.20,327
L000327,O00136,P018,3,269.00,0.05,328
L000328,O00136,P021,1,249.00,0.10,329
L000329,O00137,P012,5,134.00,0.05,330
L000330,O00137,P013,3,271.00,0.00,331
L000331,O00137,P009,1,93.00,0.05,332
L000332,O00137,P004,1,123.00,0.20,333
L000333,O00138,P014,3,294.00,0.05,334
L000334,O00138,P003,1,199.00,0.10,335
L000335,O00138,P007,3,35.00,0.10,336
L000336,O00138,P014,1,294.00,0.00,337
L000337,O00139,P006,5,196.00,0.20,338
L000338,O00139,P012,4,134.00,0.00,339
L000339,O00139,P016,4,231.00,0.20,340
L000340,O00139,P009,5,93.00,0.20,341
L000341,O00140,P003,5,199.00,0.20,342
L000342,O00141,P012,1,134.00,0.2,343
L000343,O00142,P005,2,65.00,0.20,344
L000344,O00142,P011,3,80.00,0.05,345
L000345,O00142,P003,5,199.00,0.10,346
L000346,O00142,P022,1,134.00,0.05,347
L000347,O00143,P018,3,269.00,0.05,348
L000348,O00143,P010,4,211.00,0.00,349
L000349,O00144,P022,5,134.00,0.05,350
L000350,O00144,P016,4,231.00,0.00,351
L000351,O00144,P010,3,211.00,0.00,352
L000352,O00145,P009,1,93.00,0.05,353
L000353,O00145,P012,1,134.00,0.05,354
L000354,O00145,P016,3,231.00,0.20,355
L000355,O00145,P006,2,196.00,0.20,356
L000356,O00146,P010,1,211.00,0.20,357
L000357,O00146,P002,1,284.00,0.20,358
L000358,O00146,P002,1,284.00,0.00,359
L000359,O00147,P019,2,78.00,0.05,360
L000360,O00147,P002,4,284.00,0.20,361
L000361,O00147,P014,1,294.00,0.10,362
L000362,O00148,P013,5,271.00,0.20,363
L000363,O00148,P002,5,284.00,0.00,364
L000364,O00148,P012,5,134.00,0.20,365
L000365,O00149,P014,2,294.00,0.00,366
L000366,O00149,P001,2,122.00,0.00,367
L000367,O00149,P015,5,254.00,0.00,368
L000368,O00149,P006,1,196.00,0.00,369
L000369,O00150,P021,1,249.00,0.00,370
L000370,O00150,P015,1,254.00,0.20,371
L000371,O00150,P014,4,294.00,0.00,372
L000372,O00151,P016,2,231.00,0.00,373
L000373,O00152,P020,3,189.00,0.1,374
L000374,O00153,P007,3,35.00,0.10,375
L000375,O00153,P014,4,294.00,0.05,376
L000376,O00153,P015,3,254.00,0.05,377
L000377,O00154,P001,2,122.00,0.00,378
L000378,O00155,P001,3,122.00,0.05,379
L000379,O00156,P002,1,284.00,0.00,380
L000380,O00157,P002,4,284.00,0.20,381
L000381,O00157,P013,1,271.00,0.20,382
L000382,O00157,P003,1,199.00,0.10,383
L000383,O00158,P001,4,122.00,0.20,384
L000384,O00158,P007,5,35.00,0.05,385
L000385,O00159,P017,4,300.00,0.05,386
L000386,O00160,P007,4,35.00,0.20,387
L000387,O00161,P009,3,93.00,0.10,388
L000388,O00161,P003,5,199.00,0.00,389
L000389,O00161,P016,5,231.00,0.00,390
L000390,O00162,P022,5,134.00,0.05,391
L000391,O00162,P012,2,134.00,0.10,392
L000392,O00163,P018,3,269.00,0.20,393
L000393,O00163,P012,2,134.00,0.20,394
L000394,O00163,P015,4,254.00,0.20,395
L000395,O00164,P017,3,300.00,0.00,396
L000396,O00165,P013,5,271.00,0.10,397
L000397,O00165,P010,3,211.00,0.20,398
L000398,O00165,P023,4,68.00,0.00,399
L000399,O00166,P016,1,231.00,0.20,400
L000400,O00166,P007,1,35.00,0.10,401
L000401,O00167,P021,3,249.00,0.10,402
L000402,O00167,P010,2,211.00,0.00,403
L000403,O00167,P008,4,188.00,0.00,404
L000404,O00167,P003,4,199.00,0,405
L000405,O00168,P024,2,81.00,0.20,406
L000406,O00169,P016,5,231.00,0.00,407
L000407,O00170,P012,3,134.00,0.05,408
L000408,O00171,P005,3,65.00,0.10,409
L000409,O00171,P018,2,269.00,0.00,410
L000410,O00172,P022,5,134.00,0.20,411
L000411,O00173,P014,1,294.00,0.20,412
L000412,O00174,P017,5,300.00,0.05,413
L000413,O00174,P019,5,78.00,0.05,414
L000414,O00175,P022,3,134.00,0.10,415
L000415,O00175,P007,1,35.00,0.05,416
L000416,O00176,P021,2,249.00,0.00,417
L000417,O00177,P017,2,300.00,0.05,418
L000418,O00177,P006,4,196.00,0.10,419
L000419,O00177,P003,1,199.00,0.20,420
L000420,O00178,P003,4,199.00,0.20,421
L000421,O00178,P019,3,78.00,0.10,422
L000422,O00178,P004,1,123.00,0.05,423
L000423,O00178,P015,5,254.00,0.00,424
L000424,O00179,P008,5,188.00,0.00,425
L000425,O00179,P019,3,78.00,0.00,426
L000426,O00179,P022,5,134.00,0.05,427
L000427,O00180,P003,4,199.00,0.20,428
L000428,O00180,P019,1,78.00,0.00,429
L000429,O00181,P021,4,249.00,0.20,430
L000430,O00181,P022,3,134.00,0.05,431
L000431,O00181,P014,1,294.00,0.00,432
L000432,O00181,P016,3,231.00,0.20,433
L000433,O00182,P021,3,249.00,0.10,434
L000434,O00182,P017,2,300.00,0.05,435
L000435,O00182,P010,2,211.00,0.05,436
L000436,O00182,P017,1,300.00,0.00,437
L000437,O00183,P004,1,123.00,0.05,438
L000438,O00183,P014,2,294.00,0.10,439
L000439,O00183,P007,3,35.00,0.10,440
L000440,O00183,P021,1,249.00,0.00,441
L000441,O00184,P021,1,249.00,0.10,442
L000442,O00184,P010,2,211.00,0.10,443
L000443,O00185,P016,3,231.00,0.10,444
L000444,O00185,P014,5,294.00,0.20,445
L000445,O00185,P006,3,196.00,0.10,446
L000446,O00185,P015,4,254.00,0.05,447
L000447,O00186,P006,5,196.00,0.00,448
L000448,O00186,P011,4,80.00,0.20,449
L000449,O00186,P024,4,81.00,0.05,450
L000450,O00187,P023,3,68.00,0.10,451
L000451,O00187,P005,3,65.00,0.05,452
L000452,O00187,P024,1,81.00,0.10,453
L000453,O00188,P013,3,271.00,0.10,454
L000454,O00188,P014,4,294.00,0.05,455
L000455,O00189,P023,2,68.00,0.05,456
L000456,O00189,P006,3,196.00,0.00,457
L000457,O00189,P023,5,68.00,0.00,458
L000458,O00190,P020,1,189.00,0.10,459
L000459,O00190,P001,1,122.00,0.10,460
L000460,O00191,P013,5,271.00,0.10,461
L000461,O00191,P023,2,68.00,0.10,462
L000462,O00191,P016,5,231.00,0.05,463
L000463,O00192,P010,2,211.00,0.05,464
L000464,O00193,P001,5,122.00,0.10,465
L000465,O00194,P009,5,93.00,0.20,466
L000466,O00194,P016,3,231.00,0,467
L000467,O00195,P015,1,254.00,0.00,468
L000468,O00195,P024,3,81.00,0.05,469
L000469,O00195,P015,3,254.00,0.20,470
L000470,O00196,P009,1,93.00,0.10,471
L000471,O00196,P003,2,199.00,0.00,472
L000472,O00196,P024,1,81.00,0.05,473
L000473,O00197,P004,4,123.00,0.05,474
L000474,O00197,P010,2,211.00,0.05,475
L000475,O00197,P006,2,196.00,0.00,476
L000476,O00198,P002,2,284.00,0.00,477
L000477,O00199,P002,4,284.00,0.05,478
L000478,O00199,P002,3,284.00,0.20,479
L000479,O00199,P021,4,249.00,0.05,480
L000480,O00200,P013,4,271.00,0.00,481
L000481,O00200,P012,5,134.00,0.05,482
L000482,O00201,P012,5,134.00,0.10,483
L000483,O00201,P024,4,81.00,0.10,484
L000484,O00201,P011,2,80.00,0.20,485
L000485,O00201,P018,5,269.00,0.00,486
L000486,O00202,P024,3,81.00,0.10,487
L000487,O00203,P011,4,80.00,0.10,488
L000488,O00203,P001,4,122.00,0.20,489
L000489,O00204,P021,4,249.00,0.00,490
L000490,O00205,P002,2,284.00,0.20,491
L000491,O00205,P011,4,80.00,0.20,492
L000492,O00205,P010,2,211.00,0.10,493
L000493,O00205,P012,3,134.00,0.10,494
L000494,O00206,P014,2,294.00,0.10,495
L000495,O00206,P013,2,271.00,0.05,496
L000496,O00207,P018,5,269.00,0.05,497
L000497,O00207,P007,4,35.00,0,498
L000498,O00207,P019,1,78.00,0.00,499
L000499,O00207,P002,5,284.00,0.00,500
L000500,O00208,P013,3,271.00,0.05,501
L000501,O00209,P007,5,35.00,0.20,502
L000502,O00209,P020,3,189.00,0.00,503
L000503,O00209,P017,1,300.00,0.10,504
L000504,O00209,P004,1,123.00,0.10,505
L000505,O00210,P020,4,189.00,0.10,506
L000506,O00211,P019,2,78.00,0.05,507
L000507,O00211,P002,1,284.00,0.20,508
L000508,O00211,P017,2,300.00,0.00,509
L000509,O00212,P015,1,254.00,0.00,510
L000510,O00212,P019,2,78.00,0.00,511
L000511,O00213,P006,2,196.00,0.10,512
L000512,O00213,P023,5,68.00,0.10,513
L000513,O00213,P013,2,271.00,0.10,514
L000514,O00214,P010,4,211.00,0.00,515
L000515,O00214,P023,5,68.00,0.20,516
L000516,O00215,P012,2,134.00,0.20,517
L000517,O00215,P011,4,80.00,0.10,518
L000518,O00216,P004,3,123.00,0.05,519
L000519,O00216,P023,2,68.00,0.10,520
L000520,O00216,P007,4,35.00,0.10,521
L000521,O00217,P006,1,196.00,0.20,522
L000522,O00217,P022,1,134.00,0.00,523
L000523,O00218,P008,1,188.00,0.10,524
L000524,O00218,P002,5,284.00,0.05,525
L000525,O00218,P003,5,199.00,0.20,526
L000526,O00219,P004,4,123.00,0.00,527
L000527,O00219,P002,5,284.00,0.10,528
L000528,O00220,P018,2,269.00,0.05,529
L000529,O00220,P016,2,231.00,0.10,530
L000530,O00221,P008,4,188.00,0.00,531
L000531,O00221,P022,3,134.00,0.20,532
L000532,O00221,P002,1,284.00,0.05,533
L000533,O00222,P001,5,122.00,0.20,534
L000534,O00222,P015,3,254.00,0.10,535
L000535,O00222,P018,1,269.00,0.00,536
L000536,O00222,P020,3,189.00,0.20,537
L000537,O00223,P024,5,81.00,0.00,538
L000538,O00224,P011,3,80.00,0.10,539
L000539,O00224,P007,3,35.00,0.05,540
L000540,O00224,P012,2,134.00,0.00,541
L000541,O00225,P010,3,211.00,0.10,542
L000542,O00225,P017,5,300.00,0.05,543
L000543,O00225,P005,4,65.00,0.10,544
L000544,O00225,P014,4,294.00,0.10,545
L000545,O00226,P005,3,65.00,0.20,546
L000546,O00226,P020,5,189.00,0.05,547
L000547,O00227,P007,4,35.00,0.10,548
L000548,O00228,P002,2,284.00,0.10,549
L000549,O00228,P012,2,134.00,0.20,550
L000550,O00228,P018,4,269.00,0.05,551
L000551,O00228,P019,4,78.00,0.20,552
L000552,O00229,P003,3,199.00,0.00,553
L000553,O00230,P012,3,134.00,0.20,554
L000554,O00230,P014,4,294.00,0.00,555
L000555,O00231,P001,1,122.00,0.05,556
L000556,O00231,P019,3,78.00,0.00,557
L000557,O00231,P008,1,188.00,0.05,558
L000558,O00231,P013,4,271.00,0.00,559
L000559,O00232,P006,2,196.00,0.2,560
L000560,O00232,P015,2,254.00,0.00,561
L000561,O00232,P018,2,269.00,0.00,562
L000562,O00233,P015,3,254.00,0.20,563
L000563,O00233,P019,4,78.00,0.20,564
L000564,O00234,P006,3,196.00,0.10,565
L000565,O00234,P002,3,284.00,0.20,566
L000566,O00234,P009,4,93.00,0.05,567
L000567,O00234,P004,5,123.00,0.20,568
L000568,O00235,P011,2,80.00,0.20,569
L000569,O00236,P002,5,284.00,0.00,570
L000570,O00237,P004,3,123.00,0.20,571
L000571,O00237,P009,2,93.00,0.00,572
L000572,O00237,P010,1,211.00,0.10,573
L000573,O00237,P019,3,78.00,0.10,574
L000574,O00238,P021,1,249.00,0.20,575
L000575,O00238,P006,2,196.00,0.05,576
L000576,O00238,P010,2,211.00,0.00,577
L000577,O00238,P010,4,211.00,0.05,578
L000578,O00239,P016,3,231.00,0.20,579
L000579,O00240,P007,3,35.00,0.20,580
L000580,O00241,P008,4,188.00,0.00,581
L000581,O00241,P011,1,80.00,0.20,582
L000582,O00241,P018,1,269.00,0.00,583
L000583,O00241,P007,1,35.00,0.10,584
L000584,O00242,P001,4,122.00,0.05,585
L000585,O00242,P005,2,65.00,0.20,586
L000586,O00243,P007,2,35.00,0.05,587
L000587,O00243,P007,2,35.00,0.20,588
L000588,O00244,P009,1,93.00,0.05,589
L000589,O00244,P001,5,122.00,0.05,590
L000590,O00244,P015,5,254.00,0.1,591
L000591,O00244,P001,4,122.00,0.20,592
L000592,O00245,P004,3,123.00,0.20,593
L000593,O00246,P019,3,78.00,0.05,594
L000594,O00246,P005,1,65.00,0.05,595
L000595,O00246,P019,3,78.00,0.05,596
L000596,O00246,P003,1,199.00,0.20,597
L000597,O00247,P001,5,122.00,0.05,598
L000598,O00248,P017,1,300.00,0.10,599
L000599,O00248,P005,2,65.00,0.20,600
L000600,O00248,P018,3,269.00,0.00,601
L000601,O00249,P024,2,81.00,0.10,602
L000602,O00249,P012,2,134.00,0.05,603
L000603,O00249,P021,3,249.00,0.00,604
L000604,O00249,P012,1,134.00,0.10,605
L000605,O00250,P002,5,284.00,0.10,606
L000606,O00251,P009,5,93.00,0.20,607
