return_id,order_line_id,return_date,return_quantity,reason,source_row
R00104,L001389,2025-07-17,1,Damaged,105
R00105,L001395,2025-07-27,1,Wrong Item,106
R00106,L001410,2025-09-07,2,Wrong Item,107
R00107,L001453,2025-06-26,5,Damaged,108
R00108,L001457,2025-01-16,1,Wrong Item,109
R00109,L001480,2025-02-18,1,Wrong Item,110
R00110,L001491,2025-12-28,3,Wrong Item,111
R00111,L001530,2025-03-31,3,Damaged,112
R00112,L001531,2025-04-23,1,Wrong Item,113
R00113,L001537,2025-07-31,3,Wrong Item,114
R00114,L001542,2025-12-08,2,Damaged,115
R00115,L001545,2025-12-09,1,Wrong Item,116
R00116,L001569,2026-01-17,2,Not Needed,117
R00117,L001571,2025-09-16,2,Not Needed,118
R00118,L001575,2025-09-26,1,Wrong Item,119
R00119,L001580,2025-12-29,5,Not Needed,120
R00120,L001593,2025-03-18,4,Damaged,121
R00121,L001597,2025-10-28,2,Wrong Item,122
R00122,L001615,2025-09-14,3,Not Needed,123
R00123,L001629,2025-01-16,2,Wrong Item,124
R00124,L001634,2025-08-22,1,Damaged,125
R00125,L001652,2025-03-20,4,Not Needed,126
R00126,L001653,2025-09-26,1,Wrong Item,127
R00127,L001658,2025-07-22,3,Wrong Item,128
R00128,L001695,2025-07-04,2,Damaged,129
R00129,L001700,2025-10-04,1,Wrong Item,130
R00130,L001745,2025-03-30,2,Wrong Item,131
R00131,L001756,2025-02-09,1,Wrong Item,132
R00132,L001793,2025-02-07,2,Wrong Item,133
R00133,L001795,2025-01-20,1,Not Needed,134
R00134,L001806,2025-10-11,1,Damaged,135
R00135,L001815,2025-06-30,1,Wrong Item,136
R00136,L001820,2025-10-22,4,Damaged,137
R00137,L001826,2025-10-24,2,Not Needed,138
R00138,L001828,2025-10-27,1,Wrong Item,139
R00139,L001830,2025-11-12,1,Not Needed,140
R00140,L001836,2025-08-12,2,Wrong Item,141
R00141,L001860,2025-09-15,1,Wrong Item,142
R00142,L001864,2025-08-12,1,Not Needed,143
R00143,L001886,2025-08-26,2,Damaged,144
R00144,L001894,2025-04-19,1,Not Needed,145
R00145,L001901,2025-04-22,1,Not Needed,146
R00146,L001937,2025-08-01,1,Wrong Item,147
R00147,L001940,2026-01-06,1,Wrong Item,148
R00148,L001944,2025-10-26,2,Not Needed,149
R00149,L001946,2025-10-17,1,Wrong Item,150
R00150,L001980,2025-11-08,2,Not Needed,151
R00151,L001990,2025-02-07,1,Not Needed,152
R00152,L002000,2025-03-24,1,Not Needed,153
R00153,L002029,2025-12-15,1,Damaged,154
R00154,L002037,2025-03-23,4,Wrong Item,155
R00155,L002071,2026-01-02,1,Not Needed,156
R00156,L002115,2025-05-30,1,Wrong Item,157
R00157,L002119,2025-06-16,1,Wrong Item,158
R00158,L002144,2025-09-08,1,Damaged,159
R00159,L002160,2025-03-19,1,Wrong Item,160
R00160,L002163,2025-02-27,2,Damaged,161
R00161,L002168,2025-03-29,2,Not Needed,162
R00162,L002186,2025-02-05,1,Damaged,163
R00163,L002191,2025-01-26,1,Not Needed,164
R00164,L002200,2025-07-03,1,Wrong Item,165
R00165,L002205,2025-11-06,1,Not Needed,166
R00166,L002220,2025-10-26,2,Damaged,167
R00167,L002275,2025-08-16,2,Damaged,168
R00168,L002302,2025-05-15,3,Not Needed,169
R00169,L002319,2025-02-16,5,Not Needed,170
R00170,L002337,2025-09-26,1,Wrong Item,171
R00171,L002352,2025-06-29,4,Damaged,172
R00172,L002436,2025-06-22,1,Damaged,173
R00173,L002442,2025-06-21,3,Damaged,174
R00174,L002450,2025-11-02,1,Damaged,175
R00175,L002456,2025-07-08,1,Not Needed,176
R00176,L002489,2025-07-29,5,Damaged,177
R00177,L002564,2025-10-21,1,Damaged,178
R00178,L002568,2025-04-23,2,Not Needed,179
R00179,L002574,2025-04-06,2,Wrong Item,180
R00180,L002582,2025-01-20,5,Not Needed,181
R00181,L002583,2025-02-15,5,Wrong Item,182
R00182,L002596,2025-03-11,1,Wrong Item,183
R00183,L002604,2025-06-19,1,Not Needed,184
R00184,L002608,2025-10-20,3,Not Needed,185
R00185,L002617,2025-07-26,4,Wrong Item,186
R00186,L002627,2025-07-16,3,Damaged,187
R00187,L002638,2025-02-07,1,Damaged,188
R00188,L002647,2025-04-14,2,Damaged,189
R00189,L002651,2025-06-05,1,Damaged,190
R00190,L002658,2025-04-30,1,Wrong Item,191
R00191,L002676,2025-12-05,1,Wrong Item,192
R00192,L002684,2025-04-10,4,Wrong Item,193
R00193,L002722,2025-10-21,4,Wrong Item,194
R00194,L002741,2025-04-15,1,Wrong Item,195
R00195,L002745,2025-05-29,2,Not Needed,196
R00196,L002758,2025-03-17,4,Damaged,197
R00197,L002779,2025-10-13,1,Wrong Item,198
R00198,L002793,2025-05-29,1,Wrong Item,199
R00199,L002794,2025-05-30,3,Not Needed,200
R00200,L002819,2026-01-08,1,Damaged,201
R00201,L002821,2026-01-23,1,Wrong Item,202
R00202,L002837,2025-08-27,1,Damaged,203
R00203,L002846,2025-11-28,1,Wrong Item,204
R00204,L002885,2025-09-23,1,Wrong Item,205
R00205,L002904,2025-09-03,3,Wrong Item,206
R00206,L002905,2025-08-30,3,Wrong Item,207
R00207,L002908,2025-11-05,1,Not Needed,208
R00208,L002931,2025-10-02,1,Wrong Item,209
R00209,L002957,2025-07-16,2,Damaged,210
R00210,L002959,2025-08-16,1,Wrong Item,211
R00211,L002970,2025-01-31,1,Wrong Item,212
R00212,L002991,2025-08-17,1,Wrong Item,213
R00213,L003002,2025-10-19,1,Damaged,214
R00214,L003028,2025-08-12,2,Not Needed,215
R00215,L003029,2025-08-26,1,Not Needed,216
R00216,L003030,2025-08-27,2,Wrong Item,217
R00217,L003057,2025-11-17,3,Not Needed,218
R00218,L003069,2025-08-03,1,Not Needed,219
R00219,L003081,2025-08-22,1,Not Needed,220
R00220,L003103,2025-04-12,3,Not Needed,221
R00221,L003104,2025-04-06,2,Not Needed,222
R00222,L003106,2025-04-01,2,Wrong Item,223
R00223,L003147,2025-07-08,5,Wrong Item,224
R00224,L003150,2025-06-18,2,Damaged,225
R00225,L003151,2025-06-21,2,Not Needed,226
R00226,L003153,2025-11-03,1,Damaged,227
R00227,L003163,2025-10-30,3,Damaged,228
R00228,L003175,2025-01-07,2,Damaged,229
R00229,L003191,2025-05-14,1,Not Needed,230
R00230,L003202,2025-11-02,5,Not Needed,231
R00231,L003217,2025-09-21,4,Damaged,232
R00232,L003219,2025-09-26,1,Damaged,233
R00233,L003221,2025-10-10,5,Wrong Item,234
R00234,L003237,2025-05-20,1,Wrong Item,235
R00235,L003306,2025-11-26,2,Wrong Item,236
R00236,L003343,2025-08-14,5,Wrong Item,237
R00237,L003344,2025-08-29,3,Wrong Item,238
R00238,L003354,2025-09-08,3,Damaged,239
R00239,L003357,2025-03-07,2,Damaged,240
R00240,L003366,2025-09-25,3,Not Needed,241
R00241,L003372,2025-06-07,1,Wrong Item,242
R00242,L003393,2025-07-30,1,Not Needed,243
R00243,L003402,2025-04-15,1,Not Needed,244
R00244,L003403,2025-11-14,1,Not Needed,245
R00245,L003425,2025-02-16,2,Not Needed,246
R00246,L003437,2025-02-15,4,Not Needed,247
R00247,L003442,2025-03-04,1,Damaged,248
R00248,L003446,2025-12-09,2,Not Needed,249
R00249,L003450,2025-04-22,1,Wrong Item,250
R00250,L003452,2025-04-14,1,Wrong Item,251
R00251,L003454,2025-05-18,2,Damaged,252
R00252,L003488,2025-11-04,1,Wrong Item,253
R00253,L003492,2026-01-13,2,Not Needed,254
R00254,L003501,2025-09-21,1,Wrong Item,255
R00255,L003505,2025-01-27,1,Wrong Item,256
R00256,L003509,2025-03-29,1,Damaged,257
R00257,L003521,2025-08-24,1,Not Needed,258
R00258,L003524,2025-01-24,4,Damaged,259
R00259,L003539,2025-10-11,1,Not Needed,260
R00260,L003542,2026-01-01,2,Not Needed,261
R00261,L003559,2025-04-24,3,Wrong Item,262
R00262,L003560,2025-09-15,1,Wrong Item,263
R00263,L003572,2025-04-25,3,Wrong Item,264
R00264,L003580,2025-11-25,1,Wrong Item,265
R00265,L003640,2025-06-01,2,Damaged,266
R00266,L003646,2025-08-10,1,Not Needed,267
R00267,L003650,2025-06-24,5,Wrong Item,268
R00268,L003660,2025-03-10,1,Wrong Item,269
R00269,L003699,2025-02-05,1,Wrong Item,270
R00270,L003700,2025-11-25,1,Damaged,271
R00271,L003704,2025-07-31,1,Damaged,272
R00272,L003713,2025-01-05,2,Damaged,273
R00273,L003739,2025-10-09,2,Wrong Item,274
R00274,L003755,2025-06-22,3,Wrong Item,275
R00275,L003767,2025-07-31,4,Not Needed,276
R00276,L003775,2025-08-20,1,Damaged,277
R00277,L003797,2025-10-06,4,Wrong Item,278
R00278,L003836,2025-06-12,1,Wrong Item,279
R00279,L003841,2025-12-16,1,Damaged,280
R00280,L003854,2025-09-15,1,Not Needed,281
R00281,L003855,2025-08-20,2,Not Needed,282
R00282,L003880,2025-09-14,2,Damaged,283
R00283,L003884,2025-11-13,3,Wrong Item,284
R00284,L003886,2025-03-29,1,Not Needed,285
R00285,L003895,2025-04-13,3,Wrong Item,286
R00286,L003906,2025-05-20,2,Wrong Item,287
R00287,L003908,2025-03-01,2,Not Needed,288
R00288,L003913,2025-01-24,1,Not Needed,289
R00289,L003942,2025-04-16,1,Wrong Item,290
R00290,L003970,2025-08-22,5,Not Needed,291
R00291,L003975,2025-07-25,3,Damaged,292
R00292,L003979,2026-01-06,1,Not Needed,293
R00293,L003981,2025-02-11,2,Not Needed,294
R00294,L003984,2025-03-18,2,Damaged,295
R00295,L003995,2025-11-23,2,Wrong Item,296
R00296,L004008,2025-06-11,1,Wrong Item,297
R00297,L004011,2025-06-29,1,Damaged,298
R00298,L004015,2025-03-05,1,Damaged,299
R00299,L004016,2025-02-09,2,Not Needed,300
R00300,L004017,2025-03-06,3,Wrong Item,301
R00301,L004030,2025-05-25,1,Wrong Item,302
R00302,L004045,2025-04-28,1,Damaged,303
R00303,L004052,2025-02-03,1,Not Needed,304
R00304,L004060,2025-06-27,4,Wrong Item,305
R00305,L004061,2025-06-20,2,Not Needed,306
R00306,L004082,2025-12-26,4,Wrong Item,307
R00307,L004095,2025-09-14,1,Damaged,308
R00308,L004103,2025-03-19,3,Wrong Item,309
R00309,L004118,2025-12-31,1,Damaged,310
R00310,L004123,2025-08-07,1,Not Needed,311
R00311,L004131,2025-02-12,1,Wrong Item,312
R00312,L004134,2025-10-04,1,Damaged,313
R00313,L004172,2025-11-02,1,Wrong Item,314
R00314,L004198,2025-05-20,1,Wrong Item,315
R00315,L004200,2025-05-29,3,Wrong Item,316
R00316,L004223,2025-04-01,2,Not Needed,317
R00317,L004243,2025-12-24,2,Wrong Item,318
R00318,L004247,2025-05-14,1,Not Needed,319
R00319,L004250,2025-03-14,1,Damaged,320
R00320,L004281,2025-10-17,2,Not Needed,321
R00321,L004289,2025-10-18,1,Not Needed,322
R00322,L004290,2025-10-24,2,Wrong Item,323
R00323,L004291,2025-07-08,1,Wrong Item,324
R00324,L004297,2025-05-23,1,Wrong Item,325
R00325,L004307,2025-12-06,1,Wrong Item,326
R00326,L004329,2025-12-01,2,Not Needed,327
R00327,L004359,2025-10-11,1,Wrong Item,328
R00328,L004373,2025-05-31,1,Wrong Item,329
R00329,L004394,2025-12-21,1,Not Needed,330
R00330,L004404,2025-11-11,3,Damaged,331
R00331,L004412,2025-09-26,3,Damaged,332
R00332,L004415,2025-04-13,2,Damaged,333
R00333,L004419,2025-12-25,1,Wrong Item,334
R00334,L004426,2025-09-09,2,Damaged,335
R00335,L004444,2025-03-06,1,Wrong Item,336
