order_id,customer_id,order_date,order_month,channel,region,segment,gross_sales,discounts,sales_before_returns,refunds,net_sales,sold_units,returned_units,completed_orders,purchasing_customers,aov,unit_return_rate,net_sales_share
O00021,C0298,2025-09-06,2025-09,Store,North,Business,698.00,126.2000,571.8000,0.0000,571.8000,4,0,1,1,571.8000,0,0.0003048795768326925601385362560
O00022,C0058,2025-10-21,2025-10,Store,North,Consumer,1241.00,70.5000,1170.5000,83.7000,1086.8000,12,1,1,1,1086.8000,0.08333333333333333333333333333,0.0005794738092021166043346645733
O00023,C0152,2025-03-04,2025-03,Online,West,Business,364.00,26.2000,337.8000,0.0000,337.8000,5,0,1,1,337.8000,0,0.0001801124887269736740377711565
O00025,C0085,2025-12-03,2025-12,Online,South,Consumer,1016.00,50.8000,965.2000,0.0000,965.2000,4,0,1,1,965.2000,0,0.0005146375788018797814720447609
O00026,C0062,2025-05-16,2025-05,Store,West,Business,268.00,16.0000,252.0000,0.0000,252.0000,2,0,1,1,252.0000,0,0.0001343645564215434158008239533
O00027,C0149,2025-05-19,2025-05,Online,East,Business,910.00,15.0000,895.0000,0.0000,895.0000,6,0,1,1,895.0000,0,0.0004772074523701641156418152310
O00028,C0042,2025-04-22,2025-04,Store,South,Consumer,1075.00,12.1500,1062.8500,0.0000,1062.8500,7,0,1,1,1062.8500,0,0.0005667038444152278550948640428
O00029,C0001,2025-11-30,2025-11,Store,East,Business,774.00,23.1000,750.9000,0.0000,750.9000,6,0,1,1,750.9000,0,0.0004003743865751466306541218514
O00030,C0025,2025-12-11,2025-12,Online,East,Business,1701.00,92.2000,1608.8000,0.0000,1608.8000,13,0,1,1,1608.8000,0,0.0008578003903610279656363713337
O00031,C0142,2025-11-08,2025-11,Store,West,Business,752.00,150.4000,601.6000,0.0000,601.6000,4,0,1,1,601.6000,0,0.0003207687188222242815308559140
O00034,C0080,2025-05-28,2025-05,Online,East,Consumer,405.00,81.0000,324.0000,0.0000,324.0000,5,0,1,1,324.0000,0,0.0001727544296848415346010593686
O00035,C0106,2025-01-03,2025-01,Online,East,Business,398.00,19.9000,378.1000,0.0000,378.1000,2,0,1,1,378.1000,0,0.0002016001539007363710884584792
O00036,C0212,2025-04-16,2025-04,Online,East,Consumer,1727.00,302.6000,1424.4000,0.0000,1424.4000,13,0,1,1,1424.4000,0,0.0007594796593922477835979906314
O00037,C0157,2025-06-21,2025-06,Online,West,Business,1866.00,42.4500,1823.5500,116.8500,1706.7000,12,1,1,1,1706.7000,0.08333333333333333333333333333,0.0009099999541454291577272469886
O00038,C0195,2025-02-27,2025-02,Store,West,Business,35.00,1.7500,33.2500,0.0000,33.2500,1,0,1,1,33.2500,0,0.00001772865675006475625149760495
O00039,C0062,2025-01-31,2025-01,Online,West,Business,588.00,29.4000,558.6000,0.0000,558.6000,3,0,1,1,558.6000,0,0.0002978414334010879050251597632
O00040,C0276,2025-08-08,2025-08,Store,South,Business,1150.00,92.8500,1057.1500,88.3500,968.8000,9,1,1,1,968.8000,0.1111111111111111111111111111,0.0005165570724650446874120565316
O00042,C0241,2025-06-25,2025-06,Online,North,Consumer,1493.00,223.9000,1269.1000,0.0000,1269.1000,7,0,1,1,1269.1000,0,0.0006766748355340505912413717427
O00043,C0259,2025-08-14,2025-08,Online,North,Business,156.00,7.8000,148.2000,0.0000,148.2000,2,0,1,1,148.2000,0,0.00007901915580028862786381789636
O00044,C0290,2025-10-04,2025-10,Store,South,Business,2120.00,50.8000,2069.2000,0.0000,2069.2000,9,0,1,1,2069.2000,0,0.001103282302172450936408987794
O00045,C0118,2025-08-25,2025-08,Store,West,Business,1432.00,56.9000,1375.1000,0.0000,1375.1000,5,0,1,1,1375.1000,0,0.0007331932600605728216972738818
O00046,C0208,2025-04-08,2025-04,Online,East,Business,924.00,46.2000,877.8000,0.0000,877.8000,4,0,1,1,877.8000,0,0.0004680365382017095650395367707
O00047,C0297,2025-06-07,2025-06,Store,East,Business,2440.00,112.9500,2327.0500,0.0000,2327.0500,12,0,1,1,2327.0500,0,0.001240766035796637324362330875
O00048,C0143,2025-11-30,2025-11,Online,West,Business,1251.00,125.1000,1125.9000,0.0000,1125.9000,6,0,1,1,1125.9000,0,0.0006003216431548243327386813057
O00049,C0259,2025-04-12,2025-04,Store,North,Business,1320.00,26.8000,1293.2000,381.9000,911.3000,8,3,1,1,911.3000,0.375,0.0004858984931228274397590907486
O00050,C0256,2025-04-09,2025-04,Online,North,Consumer,879.00,122.0000,757.0000,0.0000,757.0000,6,0,1,1,757.0000,0,0.0004036268619488427212746973518
O00051,C0178,2025-06-26,2025-06,Store,East,Consumer,2372.00,225.9500,2146.0500,0.0000,2146.0500,14,0,1,1,2146.0500,0,0.001144258159954179553489516845
O00052,C0198,2025-11-11,2025-11,Store,West,Consumer,882.00,88.2000,793.8000,0.0000,793.8000,3,0,1,1,793.8000,0,0.0004232483527278617597725954530
O00053,C0114,2025-08-30,2025-08,Store,North,Business,1859.00,290.8000,1568.2000,0.0000,1568.2000,10,0,1,1,1568.2000,0,0.0008361527673820015264240163635
O00054,C0174,2025-05-04,2025-05,Online,South,Consumer,401.00,73.2000,327.8000,0.0000,327.8000,4,0,1,1,327.8000,0,0.0001747805618848489353155162377
O00055,C0126,2025-06-21,2025-06,Store,South,Business,1136.00,227.2000,908.8000,0.0000,908.8000,4,0,1,1,908.8000,0,0.0004845655114122962550785270190
O00056,C0130,2025-04-19,2025-04,Store,West,Business,1783.00,279.4500,1503.5500,0.0000,1503.5500,7,0,1,1,1503.5500,0,0.0008016818603476650905846383135
O00057,C0285,2025-08-11,2025-08,Store,East,Consumer,693.00,120.1500,572.8500,0.0000,572.8500,7,0,1,1,572.8500,0,0.0003054394291511156577043730225
O00058,C0151,2025-04-19,2025-04,Store,South,Business,1203.00,90.6500,1112.3500,0.0000,1112.3500,10,0,1,1,1112.3500,0,0.0005930968822837453117700258908
O00059,C0277,2025-06-20,2025-06,Store,West,Consumer,1255.00,34.6500,1220.3500,294.0000,926.3500,6,1,1,1,926.3500,0.1666666666666666666666666667,0.0004939230430202251715360844014
O00060,C0140,2025-12-08,2025-12,Online,East,Consumer,2066.00,286.2000,1779.8000,0.0000,1779.8000,9,0,1,1,1779.8000,0,0.0009489763393613609977869304449
O00061,C0242,2025-10-16,2025-10,Online,South,Business,752.00,37.6000,714.4000,0.0000,714.4000,4,0,1,1,714.4000,0,0.0003809128536013913343178913978
O00062,C0271,2025-05-22,2025-05,Store,West,Consumer,588.00,58.8000,529.2000,0.0000,529.2000,3,0,1,1,529.2000,0,0.0002821655684852411731817303020
O00063,C0256,2025-06-23,2025-06,Online,North,Consumer,680.00,75.0000,605.0000,0.0000,605.0000,7,0,1,1,605.0000,0,0.0003225815739485466926964225863
O00064,C0016,2025-05-25,2025-05,Online,East,Consumer,1920.00,138.2000,1781.8000,0.0000,1781.8000,8,0,1,1,1781.8000,0,0.0009500427247297859455313814287
O00065,C0122,2025-12-17,2025-12,Online,North,Business,1597.00,319.4000,1277.6000,0.0000,1277.6000,7,0,1,1,1277.6000,0,0.0006812069733498566191552884237
O00066,C0076,2025-10-06,2025-10,Online,East,Consumer,1920.00,111.0000,1809.0000,0.0000,1809.0000,11,0,1,1,1809.0000,0,0.0009645455657403652348559148078
O00067,C0251,2025-08-05,2025-08,Online,North,Consumer,2293.00,96.2000,2196.8000,128.0000,2068.8000,15,2,1,1,2068.8000,0.1333333333333333333333333333,0.001103069025098765946860097598
O00068,C0005,2025-06-29,2025-06,Online,South,Business,1243.00,85.4500,1157.5500,0.0000,1157.5500,11,0,1,1,1157.5500,0,0.0006171971916101491307946181237
O00069,C0139,2025-12-01,2025-12,Store,North,Business,867.00,86.7000,780.3000,0.0000,780.3000,8,0,1,1,780.3000,0,0.0004160502514909933624975513126
O00070,C0230,2025-11-15,2025-11,Online,East,Consumer,1923.00,334.3000,1588.7000,452.7000,1136.0000,8,3,1,1,1136.0000,0.375,0.0006057068892653703188481587737
O00071,C0020,2025-02-16,2025-02,Store,West,Consumer,615.00,0.0000,615.0000,0.0000,615.0000,5,0,1,1,615.0000,0,0.0003279135007906714314186775051
O00074,C0026,2025-10-23,2025-10,Store,South,Consumer,1099.00,109.9000,989.1000,0.0000,989.1000,7,0,1,1,989.1000,0,0.0005273808839545579070182340168
O00075,C0225,2025-11-06,2025-11,Store,North,Consumer,916.00,97.4000,818.6000,0.0000,818.6000,7,0,1,1,818.6000,0,0.0004364715312963311118037876515
O00076,C0270,2025-01-02,2025-01,Online,East,Business,930.00,132.4000,797.6000,0.0000,797.6000,10,0,1,1,797.6000,0,0.0004252744849278691604870523221
O00078,C0180,2025-09-24,2025-09,Online,West,Consumer,634.00,27.1500,606.8500,0.0000,606.8500,9,0,1,1,606.8500,0,0.0003235679804143397693600397463
O00079,C0106,2025-06-15,2025-06,Online,East,Business,2681.00,320.8000,2360.2000,0.0000,2360.2000,12,0,1,1,2360.2000,0,0.001258441373278280833226605931
O00080,C0063,2025-08-27,2025-08,Store,West,Consumer,930.00,52.6500,877.3500,0.0000,877.3500,4,0,1,1,877.3500,0,0.0004677966014938139517970352994
O00081,C0094,2025-06-05,2025-06,Online,West,Consumer,1155.00,161.7000,993.3000,0.0000,993.3000,10,0,1,1,993.3000,0,0.0005296202932282502972815810827
O00082,C0225,2025-04-07,2025-04,Online,North,Consumer,1771.00,266.4000,1504.6000,0.0000,1504.6000,14,0,1,1,1504.6000,0,0.0008022417126660881881504750800
O00083,C0136,2025-02-08,2025-02,Store,West,Consumer,1717.00,280.1000,1436.9000,650.4000,786.5000,7,3,1,1,786.5000,0.4285714285714285714285714286,0.0004193560461331107005053493622
O00084,C0223,2025-06-27,2025-06,Store,East,Consumer,1703.00,206.5500,1496.4500,157.5000,1338.9500,18,5,1,1,1338.9500,0.2777777777777777777777777778,0.0007139183445262918912163223504
O00085,C0108,2025-03-27,2025-03,Store,East,Business,1155.00,57.7500,1097.2500,0.0000,1097.2500,5,0,1,1,1097.2500,0,0.0005850456727521369562994209634
O00086,C0279,2025-01-27,2025-01,Online,South,Business,828.00,41.4000,786.6000,0.0000,786.6000,4,0,1,1,786.6000,0,0.0004194093654015319478925719114
O00087,C0129,2025-10-13,2025-10,Online,North,Business,244.00,48.8000,195.2000,0.0000,195.2000,2,0,1,1,195.2000,0,0.0001040792119582748998584160146
O00088,C0006,2025-04-19,2025-04,Store,East,Consumer,536.00,0.0000,536.0000,0.0000,536.0000,4,0,1,1,536.0000,0,0.0002857912787378859955128636467
O00089,C0020,2025-08-12,2025-08,Store,West,Consumer,498.00,99.6000,398.4000,0.0000,398.4000,2,0,1,1,398.4000,0,0.0002124239653902495906946359643
O00090,C0111,2025-12-27,2025-12,Online,South,Business,1201.00,19.7000,1181.3000,0.0000,1181.3000,5,0,1,1,1181.3000,0,0.0006298605178601953852599735558
O00091,C0062,2025-08-23,2025-08,Store,West,Business,3131.00,187.8000,2943.2000,0.0000,2943.2000,14,0,1,1,2943.2000,0,0.001569292708174153100734067696
O00093,C0179,2025-08-04,2025-08,Store,East,Consumer,462.00,46.2000,415.8000,0.0000,415.8000,4,0,1,1,415.8000,0,0.0002217015180955466360713595230
O00094,C0008,2025-06-14,2025-06,Store,North,Consumer,529.00,58.5500,470.4500,0.0000,470.4500,5,0,1,1,470.4500,0,0.0002508404982877583331884826541
O00095,C0235,2025-03-19,2025-03,Online,North,Business,376.00,18.8000,357.2000,0.0000,357.2000,2,0,1,1,357.2000,0,0.0001904564268006956671589456989
O00096,C0153,2025-10-24,2025-10,Online,East,Business,1330.00,78.8000,1251.2000,0.0000,1251.2000,6,0,1,1,1251.2000,0,0.0006671306864866473089285354381
O00097,C0132,2025-05-03,2025-05,Store,North,Consumer,1463.00,73.1500,1389.8500,0.0000,1389.8500,11,0,1,1,1389.8500,0,0.0007410578521527068113125998870
O00098,C0299,2025-06-28,2025-06,Online,North,Consumer,2625.00,81.3000,2543.7000,0.0000,2543.7000,14,0,1,1,2543.7000,0,0.001356282230831269788779983691
O00099,C0117,2025-12-23,2025-12,Online,North,Consumer,1984.00,86.7500,1897.2500,0.0000,1897.2500,11,0,1,1,1897.2500,0,0.001011599820122116054079814466
O00100,C0016,2025-01-16,2025-01,Online,East,Consumer,1838.00,219.2000,1618.8000,0.0000,1618.8000,9,0,1,1,1618.8000,0,0.0008631323172031527043586262525
O00101,C0025,2025-04-22,2025-04,Store,East,Business,813.00,162.6000,650.4000,0.0000,650.4000,3,0,1,1,650.4000,0,0.0003467885218117930064954599176
O00102,C0102,2025-10-05,2025-10,Store,North,Consumer,390.00,0.0000,390.0000,0.0000,390.0000,5,0,1,1,390.0000,0,0.0002079451468428648101679418325
O00103,C0017,2025-09-15,2025-09,Online,South,Consumer,1919.00,163.7000,1755.3000,357.2000,1398.1000,8,2,1,1,1398.1000,0.25,0.0007454566917974597207584601950
O00104,C0148,2025-12-28,2025-12,Online,East,Consumer,1644.00,204.4000,1439.6000,0.0000,1439.6000,13,0,1,1,1439.6000,0,0.0007675841881922773864558181079
O00105,C0225,2025-11-07,2025-11,Store,North,Consumer,498.00,99.6000,398.4000,0.0000,398.4000,2,0,1,1,398.4000,0,0.0002124239653902495906946359643
O00106,C0006,2025-10-12,2025-10,Store,East,Consumer,1553.00,205.1000,1347.9000,0.0000,1347.9000,7,0,1,1,1347.9000,0,0.0007186904190499935323727405027
O00107,C0069,2025-05-20,2025-05,Store,South,Business,68.00,6.8000,61.2000,0.0000,61.2000,1,0,1,1,61.2000,0,0.00003263139227380340098020010295
O00108,C0150,2025-06-29,2025-06,Store,West,Business,1604.00,0.0000,1604.0000,0.0000,1604.0000,6,0,1,1,1604.0000,0,0.0008552410654768080910496889727
O00110,C0025,2025-07-28,2025-07,Online,East,Business,1782.00,178.2000,1603.8000,0.0000,1603.8000,9,0,1,1,1603.8000,0,0.0008551344269399655962752438743
O00111,C0084,2025-01-16,2025-01,Online,West,Business,1076.00,53.8000,1022.2000,0.0000,1022.2000,4,0,1,1,1022.2000,0,0.0005450295618019907921888977979
O00112,C0107,2025-10-23,2025-10,Online,South,Consumer,832.00,83.2000,748.8000,0.0000,748.8000,6,0,1,1,748.8000,0,0.0003992546819383004355224483184
O00113,C0026,2025-06-26,2025-06,Store,South,Consumer,1500.00,210.0000,1290.0000,0.0000,1290.0000,5,0,1,1,1290.0000,0,0.0006878185626340912951708845229
O00114,C0074,2025-01-27,2025-01,Online,South,Business,162.00,0.0000,162.0000,0.0000,162.0000,2,0,1,1,162.0000,0,0.00008637721484242076730052968428
O00116,C0294,2025-10-27,2025-10,Online,South,Consumer,1594.00,226.4000,1367.6000,0.0000,1367.6000,9,0,1,1,1367.6000,0,0.0007291943149289792676555826927
O00118,C0027,2025-07-28,2025-07,Store,North,Consumer,1055.00,105.5000,949.5000,0.0000,949.5000,5,0,1,1,949.5000,0,0.0005062664536597439416781045384
O00119,C0054,2025-06-29,2025-06,Online,East,Business,2188.00,334.3000,1853.7000,184.8000,1668.9000,11,1,1,1,1668.9000,0.09090909090909090909090909091,0.0008898452706821976453571233956
O00120,C0102,2025-09-23,2025-09,Online,North,Consumer,1150.00,117.2000,1032.8000,0.0000,1032.8000,6,0,1,1,1032.8000,0,0.0005506814042546430152344880119
O00121,C0136,2025-03-14,2025-03,Online,West,Consumer,1208.00,107.6000,1100.4000,0.0000,1100.4000,7,0,1,1,1100.4000,0,0.0005867252297074062489969312628
O00122,C0094,2025-07-31,2025-07,Store,West,Consumer,2769.00,304.8000,2464.2000,0.0000,2464.2000,18,0,1,1,2464.2000,0,0.001313893412436378115938057086
O00123,C0120,2025-06-29,2025-06,Online,South,Consumer,1931.00,166.0000,1765.0000,0.0000,1765.0000,13,0,1,1,1765.0000,0,0.0009410850876350163844779931651
O00124,C0161,2025-04-12,2025-04,Online,West,Consumer,1992.00,183.6000,1808.4000,0.0000,1808.4000,13,0,1,1,1808.4000,0,0.0009642256501298377505325795126
O00125,C0169,2025-01-23,2025-01,Store,North,Consumer,1541.00,154.1000,1386.9000,0.0000,1386.9000,6,0,1,1,1386.9000,0,0.0007394849337342800133895346859
O00126,C0208,2025-09-29,2025-09,Store,East,Business,2028.00,256.4000,1771.6000,0.0000,1771.6000,12,0,1,1,1771.6000,0,0.0009446041593508187120346814115
O00130,C0005,2025-09-21,2025-09,Store,South,Business,2904.00,242.4000,2661.6000,186.2000,2475.4000,14,1,1,1,2475.4000,0.07142857142857142857142857143,0.001319865170499557823306982595
O00131,C0293,2025-04-24,2025-04,Store,North,Business,1103.00,81.9500,1021.0500,0.0000,1021.0500,7,0,1,1,1021.0500,0,0.0005444163902151464472358384823
O00132,C0104,2025-07-04,2025-07,Online,North,Business,3303.00,284.2500,3018.7500,0.0000,3018.7500,13,0,1,1,3018.7500,0,0.001609575415466405501780703607
O00134,C0222,2025-07-22,2025-07,Store,East,Consumer,134.00,13.4000,120.6000,0.0000,120.6000,1,0,1,1,120.6000,0,0.00006430303771602434899039432052
O00135,C0275,2025-05-28,2025-05,Online,East,Business,1789.00,216.0500,1572.9500,0.0000,1572.9500,9,0,1,1,1572.9500,0,0.0008386854326320107773170874499
O00136,C0232,2025-10-17,2025-10,Store,East,Business,1478.00,149.6500,1328.3500,0.0000,1328.3500,6,0,1,1,1328.3500,0,0.0007082665020736396681707321365
O00137,C0084,2025-11-06,2025-11,Online,West,Business,1699.00,62.7500,1636.2500,0.0000,1636.2500,10,0,1,1,1636.2500,0,0.0008724365295426603734289610858
O00138,C0270,2025-09-05,2025-09,Store,East,Business,1480.00,74.5000,1405.5000,0.0000,1405.5000,8,0,1,1,1405.5000,0,0.0007494023176606320274129288349
O00139,C0162,2025-11-26,2025-11,Store,South,Consumer,2905.00,473.8000,2431.2000,369.6000,2061.6000,18,2,1,1,2061.6000,0.1111111111111111111111111111,0.001099230037772436134980074056
O00140,C0081,2025-08-11,2025-08,Online,North,Consumer,995.00,199.0000,796.0000,0.0000,796.0000,5,0,1,1,796.0000,0,0.0004244213766331292022914915351
O00141,C0215,2025-01-12,2025-01,Online,North,Consumer,134.00,26.800,107.200,0.000,107.200,1,0,1,1,107.200,0,0.00005715825574757719910257272935
O00142,C0253,2025-03-14,2025-03,Online,North,Consumer,1499.00,144.2000,1354.8000,0.0000,1354.8000,11,0,1,1,1354.8000,0,0.0007223694485710596020910963967
O00144,C0185,2025-08-18,2025-08,Online,North,Consumer,2227.00,33.5000,2193.5000,509.2000,1684.3000,12,4,1,1,1684.3000,0.3333333333333333333333333333,0.0008980564380190697429893959705
O00145,C0268,2025-03-17,2025-03,Store,North,Consumer,1312.00,228.3500,1083.6500,0.0000,1083.6500,7,0,1,1,1083.6500,0,0.0005777942522468473116371542739
O00146,C0258,2025-03-05,2025-03,Store,South,Business,779.00,99.0000,680.0000,0.0000,680.0000,3,0,1,1,680.0000,0,0.0003625710252644822331133344772
O00148,C0178,2025-10-05,2025-10,Store,East,Consumer,3445.00,405.0000,3040.0000,0.0000,3040.0000,15,0,1,1,3040.0000,0,0.001620905760005920571565495310
O00149,C0058,2025-09-14,2025-09,Store,North,Consumer,2298.00,0.0000,2298.0000,0.0000,2298.0000,10,0,1,1,2298.0000,0,0.001225276788320264958374180336
O00150,C0293,2025-10-26,2025-10,Online,North,Business,1679.00,50.8000,1628.2000,588.0000,1040.2000,6,2,1,1,1040.2000,0.3333333333333333333333333333,0.0005546270301178153218889566518
O00151,C0031,2025-04-16,2025-04,Store,South,Consumer,462.00,0.0000,462.0000,0.0000,462.0000,2,0,1,1,462.0000,0,0.0002463350201061629289681772478
O00152,C0280,2025-07-11,2025-07,Store,North,Business,567.00,56.700,510.300,0.000,510.300,3,0,1,1,510.300,0,0.0002720882267536254169966685055
O00153,C0087,2025-01-01,2025-01,Online,North,Business,2043.00,107.4000,1935.6000,0.0000,1935.6000,10,0,1,1,1935.6000,0,0.001032047759561664427079662080
O00154,C0047,2025-04-14,2025-04,Online,West,Consumer,244.00,0.0000,244.0000,0.0000,244.0000,2,0,1,1,244.0000,0,0.0001300990149478436248230200183
O00155,C0162,2025-10-29,2025-10,Online,South,Consumer,366.00,18.3000,347.7000,0.0000,347.7000,3,0,1,1,347.7000,0,0.0001853910963006771653728035261
O00156,C0029,2025-10-16,2025-10,Online,East,Consumer,284.00,0.0000,284.0000,0.0000,284.0000,1,0,1,1,284.0000,0,0.0001514267223163425797120396934
O00157,C0126,2025-07-10,2025-07,Online,South,Business,1606.00,301.3000,1304.7000,0.0000,1304.7000,6,0,1,1,1304.7000,0,0.0006956564950920146610925992536
O00158,C0092,2025-02-26,2025-02,Store,East,Consumer,663.00,106.3500,556.6500,0.0000,556.6500,9,0,1,1,556.6500,0,0.0002968017076668735809743200540
O00159,C0089,2025-01-05,2025-01,Store,South,Business,1200.00,60.0000,1140.0000,0.0000,1140.0000,4,0,1,1,1140.0000,0,0.0006078396600022202143370607412
O00160,C0192,2025-10-07,2025-10,Store,South,Business,140.00,28.0000,112.0000,0.0000,112.0000,4,0,1,1,112.0000,0,0.00005971758063179707368925509036
O00161,C0078,2025-08-07,2025-08,Online,West,Consumer,2429.00,27.9000,2401.1000,0.0000,2401.1000,13,0,1,1,2401.1000,0,0.001280248954062571014600628549
O00162,C0245,2025-05-31,2025-05,Online,North,Consumer,938.00,60.3000,877.7000,120.6000,757.1000,7,1,1,1,757.1000,0.1428571428571428571428571429,0.0004036801812172639686619199010
O00163,C0288,2025-09-12,2025-09,Store,East,Consumer,2091.00,418.2000,1672.8000,0.0000,1672.8000,9,0,1,1,1672.8000,0,0.0008919247221506262934588028139
O00164,C0088,2025-10-09,2025-10,Online,West,Business,900.00,0.0000,900.0000,0.0000,900.0000,3,0,1,1,900.0000,0,0.0004798734157912264850029426904
O00165,C0046,2025-08-07,2025-08,Store,West,Consumer,2260.00,262.1000,1997.9000,0.0000,1997.9000,12,0,1,1,1997.9000,0,0.001065265663788101549319310224
O00166,C0285,2025-12-09,2025-12,Store,East,Consumer,266.00,49.7000,216.3000,0.0000,216.3000,2,0,1,1,216.3000,0,0.0001153295775951580985623738933
O00167,C0019,2025-07-11,2025-07,Online,North,Business,2717.00,74.7000,2642.3000,0.0000,2642.3000,13,0,1,1,2642.3000,0,0.001408855029494619712581417190
O00168,C0293,2025-07-25,2025-07,Store,North,Business,162.00,32.4000,129.6000,0.0000,129.6000,2,0,1,1,129.6000,0,0.00006910177187393661384042374742
O00169,C0060,2025-12-30,2025-12,Store,South,Business,1155.00,0.0000,1155.0000,0.0000,1155.0000,5,0,1,1,1155.0000,0,0.0006158375502654073224204431194
O00170,C0280,2025-04-30,2025-04,Online,North,Business,402.00,20.1000,381.9000,0.0000,381.9000,3,0,1,1,381.9000,0,0.0002036262861007437718029153483
O00171,C0208,2025-02-24,2025-02,Online,East,Business,733.00,19.5000,713.5000,0.0000,713.5000,5,0,1,1,713.5000,0,0.0003804329801856001078328884551
O00172,C0242,2025-12-12,2025-12,Online,South,Business,670.00,134.0000,536.0000,0.0000,536.0000,5,0,1,1,536.0000,0,0.0002857912787378859955128636467
O00173,C0188,2025-11-28,2025-11,Store,South,Business,294.00,58.8000,235.2000,0.0000,235.2000,1,0,1,1,235.2000,0,0.0001254069193267738547474356898
O00174,C0244,2025-08-17,2025-08,Store,South,Consumer,1890.00,94.5000,1795.5000,0.0000,1795.5000,10,0,1,1,1795.5000,0,0.0009573474645034968375808706674
O00175,C0181,2025-11-30,2025-11,Online,West,Business,437.00,41.9500,395.0500,0.0000,395.0500,4,0,1,1,395.0500,0,0.0002106377698981378032226805665
O00176,C0105,2025-09-28,2025-09,Online,South,Business,498.00,0.0000,498.0000,0.0000,498.0000,2,0,1,1,498.0000,0,0.0002655299567378119883682949554
O00177,C0236,2025-01-05,2025-01,Store,West,Business,1583.00,148.2000,1434.8000,0.0000,1434.8000,7,0,1,1,1434.8000,0,0.0007650248633080575118691357469
O00178,C0165,2025-07-09,2025-07,Online,West,Consumer,2423.00,188.7500,2234.2500,0.0000,2234.2500,13,0,1,1,2234.2500,0,0.001191285754701719749019805229
O00179,C0096,2025-06-18,2025-06,Store,North,Consumer,1844.00,33.5000,1810.5000,0.0000,1810.5000,13,0,1,1,1810.5000,0,0.0009653453547666839456642530456
O00180,C0290,2025-11-13,2025-11,Online,South,Business,874.00,159.2000,714.8000,0.0000,714.8000,5,0,1,1,714.8000,0,0.0003811261306750763238667815946
