order_line_id,order_id,product_id,quantity,unit_price,discount_rate
L000088,O00037,P016,3,$231.00,0.00
L000089,O00037,P008,3,188.00,0.00
L000090,O00037,P011,3,80.00,0.10
L000091,O00038,P007,1,35.00,0.05
L000092,O00039,P006,3,196.00,0.05
L000093,O00040,P007,5,35.00,0.00
L000094,O00040,P009,1,93.00,5%
L000095,O00040,P014,3,294.00,0.10
L000096,O00041,P010,1,211.00,0.10
L000097,O00041,P008,3,188.00,0.10
L000098,O00041,P015,1,254.00,0.20
L000099,O00042,P021,2,249.00,0.05
L000100,O00042,P003,5,199.00,0.20
L000101,O00043,P019,2,78.00,0.05
L000102,O00044,P014,5,294.00,0.00
L000103,O00044,P001,3,122.00,0.10
L000104,O00044,P002,1,284.00,0.05
L000105,O00045,P017,2,300.00,0.05
L000106,O00045,P014,1,294.00,0.00
L000107,O00045,P018,2,269.00,0.05
L000108,O00046,P016,4,231.00,0.05
L000109,O00047,P006,4,196.00,0.05
L000110,O00047,P018,5,269.00,0.05
L000111,O00047,P005,1,65.00,0.10
L000112,O00047,P004,2,123.00,0.00
L000113,O00048,P006,1,196.00,0.10
L000114,O00048,P010,5,211.00,0.10
L000115,O00049,P006,4,196.00,0.00
L000116,O00049,P022,4,134.00,0.05
L000117,O00050,P018,1,$269.00,0.00
L000118,O00050,P001,5,122.00,0.20
L000119,O00051,P016,5,231.00,0.05
L000120,O00051,P009,5,93.00,0.20
L000121,O00051,P008,4,188.00,0.10
L000122,O00052,P014,3,294.00,0.10
L000123,O00053,P015,1,254.00,0.20
L000124,O00053,P017,4,300.00,0.20
L000125,O00053,P024,5,81.00,0%
L000126,O00054,P007,1,35.00,0.00
L000127,O00054,P001,3,122.00,0.20
L000128,O00055,P002,4,284.00,0.20
L000129,O00056,P002,4,284.00,0.20
L000130,O00056,P021,1,249.00,0.05
L000131,O00056,P003,2,199.00,0.10
L000132,O00057,P004,1,123.00,0.05
L000133,O00057,P001,3,122.00,0.20
L000134,O00057,P023,3,68.00,0.20
L000135,O00058,P005,3,65.00,0.05
L000136,O00058,P003,2,199.00,0.05
L000137,O00058,P001,5,122.00,0.10
L000138,O00059,P014,1,294.00,0.00
L000139,O00059,P016,1,231.00,0.05
L000140,O00059,P016,2,231.00,0.05
L000141,O00059,P022,2,134.00,0.00
L000142,O00060,P003,4,199.00,0.20
L000143,O00060,P015,5,254.00,0.10
L000144,O00061,P008,4,188.00,0.05
L000145,O00062,P006,3,196.00,0.10
L000146,O00063,P007,2,$35.00,0.20
L000147,O00063,P001,5,122.00,0.10
L000148,O00064,P018,4,269.00,0.05
L000149,O00064,P010,4,211.00,0.10
L000150,O00065,P010,1,211.00,0.20
L000151,O00065,P013,2,271.00,0.20
L000152,O00065,P010,4,211.00,0.20
L000153,O00066,P017,1,300.00,0.10
L000154,O00066,P009,5,93.00,0.05
L000155,O00066,P016,5,231.00,0.05
L000156,O00067,P017,5,300.00,0%
L000157,O00067,P019,4,78.00,0.00
L000158,O00067,P011,5,80.00,0.20
L000159,O00067,P024,1,81.00,0.20
L000160,O00068,P004,3,123.00,0.05
L000161,O00068,P023,3,68.00,0.00
L000162,O00068,P012,5,134.00,0.10
L000163,O00069,P009,5,93.00,0.10
L000164,O00069,P012,3,134.00,0.10
L000165,O00070,P024,1,81.00,0.10
L000166,O00070,P010,2,211.00,0.10
L000167,O00070,P002,5,284.00,0.20
L000168,O00071,P004,5,123.00,0.00
L000169,O00072,P013,5,271.00,0.20
L000170,O00072,P009,1,93.00,0.10
L000171,O00073,P008,4,188.00,0.00
L000172,O00073,P003,3,199.00,0.05
L000173,O00074,P019,2,78.00,0.10
L000174,O00074,P008,2,188.00,0.10
L000175,O00074,P020,3,$189.00,0.10
L000176,O00075,P001,2,122.00,0.20
L000177,O00075,P009,4,93.00,0.05
L000178,O00075,P017,1,300.00,0.10
L000179,O00076,P024,4,81.00,0.20
L000180,O00076,P012,4,134.00,0.10
L000181,O00076,P007,2,35.00,0.20
L000182,O00077,P018,3,269.00,0.10
L000183,O00077,P008,2,188.00,0.05
L000184,O00077,P020,4,189.00,0.00
L000185,O00077,P015,1,254.00,0.10
L000186,O00078,P023,4,68.00,0.00
L000187,O00078,P012,1,134.00,0%
L000188,O00078,P004,1,123.00,0.05
L000189,O00078,P007,3,35.00,0.20
L000190,O00079,P017,3,300.00,0.05
L000191,O00079,P021,5,249.00,0.20
L000192,O00079,P022,4,134.00,0.05
L000193,O00080,P004,1,123.00,0.10
L000194,O00080,P018,3,269.00,0.05
L000195,O00081,P016,2,231.00,0.20
L000196,O00081,P004,2,123.00,0.10
L000197,O00081,P005,5,65.00,0.10
L000198,O00081,P001,1,122.00,0.10
L000199,O00082,P012,2,134.00,0.10
L000200,O00082,P001,5,122.00,0.10
L000201,O00082,P005,4,65.00,0.20
L000202,O00082,P010,3,211.00,0.20
L000203,O00083,P010,3,211.00,0.10
L000204,O00083,P013,4,$271.00,0.20
L000205,O00084,P004,5,123.00,0.05
L000206,O00084,P007,5,35.00,0.10
L000207,O00084,P022,5,134.00,0.20
L000208,O00084,P024,3,81.00,0.10
L000209,O00085,P016,5,231.00,0.05
L000210,O00086,P021,3,249.00,0.05
L000211,O00086,P024,1,81.00,0.05
L000212,O00087,P001,2,122.00,0.20
L000213,O00088,P022,4,134.00,0.00
L000214,O00089,P021,2,249.00,0.20
L000215,O00090,P018,3,269.00,0.00
L000216,O00090,P013,1,271.00,0.05
L000217,O00090,P004,1,123.00,0.05
L000218,O00091,P002,4,284.00,0%
L000219,O00091,P018,4,269.00,0.05
L000220,O00091,P022,5,134.00,0.20
L000221,O00091,P021,1,249.00,0.00
L000222,O00092,P006,3,196.00,0.00
L000223,O00092,P015,1,254.00,0.20
L000224,O00093,P009,1,93.00,0.10
L000225,O00093,P004,3,123.00,0.10
L000226,O00094,P011,3,80.00,0.20
L000227,O00094,P010,1,211.00,0.05
L000228,O00094,P019,1,78.00,0.00
L000229,O00095,P008,2,188.00,0.05
L000230,O00096,P013,4,271.00,0.05
L000231,O00096,P004,2,123.00,0.10
L000232,O00097,P007,4,35.00,0.05
L000233,O00097,P020,3,$189.00,0.05
L000234,O00097,P020,4,189.00,0.05
L000235,O00098,P014,5,294.00,0.05
L000236,O00098,P024,3,81.00,0.00
L000237,O00098,P020,4,189.00,0.00
L000238,O00098,P019,2,78.00,0.05
L000239,O00099,P021,1,249.00,0.00
L000240,O00099,P018,5,269.00,0.05
L000241,O00099,P019,1,78.00,0.05
L000242,O00099,P019,4,78.00,0.05
L000243,O00100,P019,3,78.00,0.00
L000244,O00100,P015,4,254.00,0.10
L000245,O00100,P014,2,294.00,0.20
L000246,O00101,P013,3,271.00,0.20
L000247,O00102,P019,5,78.00,0.00
L000248,O00103,P008,3,188.00,0.05
L000249,O00103,P013,5,271.00,10%
L000250,O00104,P011,4,80.00,0.10
L000251,O00104,P011,5,80.00,0.20
L000252,O00104,P016,4,231.00,0.10
L000253,O00105,P021,2,249.00,0.20
L000254,O00106,P010,5,211.00,0.10
L000255,O00106,P021,2,249.00,0.20
L000256,O00107,P023,1,68.00,0.10
L000257,O00108,P013,5,271.00,0.00
L000258,O00108,P021,1,249.00,0.00
L000259,O00109,P014,4,294.00,0.00
L000260,O00109,P023,5,68.00,0.20
L000261,O00109,P011,2,80.00,0.10
L000262,O00110,P019,4,$78.00,0.10
L000263,O00110,P014,5,294.00,0.10
L000264,O00111,P018,4,269.00,0.05
L000265,O00112,P024,4,81.00,0.10
L000266,O00112,P015,2,254.00,0.10
L000267,O00113,P017,2,300.00,0.05
L000268,O00113,P017,3,300.00,0.20
L000269,O00114,P024,2,81.00,0.00
L000270,O00115,P006,2,196.00,0.10
L000271,O00115,P012,1,134.00,0.00
L000272,O00116,P016,4,231.00,0.10
L000273,O00116,P012,5,134.00,0.20
L000274,O00117,P001,2,122.00,0.20
L000275,O00117,P002,3,284.00,0.20
L000276,O00117,P021,4,249.00,0.00
L000277,O00118,P010,5,211.00,0.10
L000278,O00119,P009,1,93.00,0.10
L000279,O00119,P008,5,188.00,0.10
L000280,O00119,P016,5,231.00,20%
L000281,O00120,P003,2,199.00,0.20
L000282,O00120,P008,4,188.00,0.05
L000283,O00121,P012,5,134.00,0.00
L000284,O00121,P018,2,269.00,0.20
L000285,O00122,P021,5,249.00,0.00
L000286,O00122,P023,5,68.00,0.20
L000287,O00122,P023,3,68.00,0.20
L000288,O00122,P006,5,196.00,0.20
L000289,O00123,P003,3,199.00,0.10
L000290,O00123,P013,2,271.00,0.05
L000291,O00123,P022,3,$134.00,0.10
L000292,O00123,P019,5,78.00,0.10
L000293,O00124,P005,4,65.00,0.10
L000294,O00124,P019,4,78.00,0.05
L000295,O00124,P002,5,284.00,0.10
L000296,O00125,P006,1,196.00,0.10
L000297,O00125,P018,5,269.00,0.10
L000298,O00126,P014,3,294.00,0.10
L000299,O00126,P012,4,134.00,0.20
L000300,O00126,P001,5,122.00,0.10
L000301,O00127,P016,4,231.00,0.20
L000302,O00127,P013,3,271.00,0.00
L000303,O00127,P013,5,271.00,0.00
L000304,O00128,P016,2,231.00,0.20
L000305,O00129,P003,5,199.00,0.00
L000306,O00129,P023,2,68.00,0.00
L000307,O00129,P016,5,231.00,0.10
L000308,O00130,P022,4,134.00,0.00
L000309,O00130,P006,4,196.00,0.05
L000310,O00130,P002,2,284.00,0.00
L000311,O00130,P015,4,254.00,20%
L000312,O00131,P020,3,189.00,0.05
L000313,O00131,P012,3,134.00,0.10
L000314,O00131,P012,1,134.00,0.10
L000315,O00132,P017,2,300.00,0.05
L000316,O00132,P016,2,231.00,0.20
L000317,O00132,P021,4,249.00,0.10
L000318,O00132,P021,5,249.00,0.05
L000319,O00133,P003,2,199.00,0.05
L000320,O00133,P024,2,$81.00,0.20
L000321,O00133,P018,4,269.00,0.20
L000322,O00133,P022,3,134.00,0.00
L000323,O00134,P022,1,134.00,0.10
L000324,O00135,P020,5,189.00,0.05
L000325,O00135,P010,4,211.00,0.20
L000326,O00136,P010,2,211.00,0.20
L000327,O00136,P018,3,269.00,0.05
L000328,O00136,P021,1,249.00,0.10
L000329,O00137,P012,5,134.00,0.05
L000330,O00137,P013,3,271.00,0.00
L000331,O00137,P009,1,93.00,0.05
L000332,O00137,P004,1,123.00,0.20
L000333,O00138,P014,3,294.00,0.05
L000334,O00138,P003,1,199.00,0.10
L000335,O00138,P007,3,35.00,0.10
L000336,O00138,P014,1,294.00,0.00
L000337,O00139,P006,5,196.00,0.20
L000338,O00139,P012,4,134.00,0.00
L000339,O00139,P016,4,231.00,0.20
L000340,O00139,P009,5,93.00,0.20
L000341,O00140,P003,5,199.00,0.20
L000342,O00141,P012,1,134.00,20%
L000343,O00142,P005,2,65.00,0.20
L000344,O00142,P011,3,80.00,0.05
L000345,O00142,P003,5,199.00,0.10
L000346,O00142,P022,1,134.00,0.05
L000347,O00143,P018,3,269.00,0.05
L000348,O00143,P010,4,211.00,0.00
L000349,O00144,P022,5,$134.00,0.05
L000350,O00144,P016,4,231.00,0.00
L000351,O00144,P010,3,211.00,0.00
L000352,O00145,P009,1,93.00,0.05
L000353,O00145,P012,1,134.00,0.05
L000354,O00145,P016,3,231.00,0.20
L000355,O00145,P006,2,196.00,0.20
L000356,O00146,P010,1,211.00,0.20
L000357,O00146,P002,1,284.00,0.20
L000358,O00146,P002,1,284.00,0.00
L000359,O00147,P019,2,78.00,0.05
L000360,O00147,P002,4,284.00,0.20
L000361,O00147,P014,1,294.00,0.10
L000362,O00148,P013,5,271.00,0.20
L000363,O00148,P002,5,284.00,0.00
L000364,O00148,P012,5,134.00,0.20
L000365,O00149,P014,2,294.00,0.00
L000366,O00149,P001,2,122.00,0.00
L000367,O00149,P015,5,254.00,0.00
L000368,O00149,P006,1,196.00,0.00
L000369,O00150,P021,1,249.00,0.00
L000370,O00150,P015,1,254.00,0.20
L000371,O00150,P014,4,294.00,0.00
L000372,O00151,P016,2,231.00,0.00
L000373,O00152,P020,3,189.00,10%
L000374,O00153,P007,3,35.00,0.10
L000375,O00153,P014,4,294.00,0.05
L000376,O00153,P015,3,254.00,0.05
L000377,O00154,P001,2,122.00,0.00
L000378,O00155,P001,3,$122.00,0.05
L000379,O00156,P002,1,284.00,0.00
L000380,O00157,P002,4,284.00,0.20
L000381,O00157,P013,1,271.00,0.20
L000382,O00157,P003,1,199.00,0.10
L000383,O00158,P001,4,122.00,0.20
L000384,O00158,P007,5,35.00,0.05
L000385,O00159,P017,4,300.00,0.05
L000386,O00160,P007,4,35.00,0.20
L000387,O00161,P009,3,93.00,0.10
L000388,O00161,P003,5,199.00,0.00
L000389,O00161,P016,5,231.00,0.00
L000390,O00162,P022,5,134.00,0.05
L000391,O00162,P012,2,134.00,0.10
L000392,O00163,P018,3,269.00,0.20
L000393,O00163,P012,2,134.00,0.20
L000394,O00163,P015,4,254.00,0.20
L000395,O00164,P017,3,300.00,0.00
L000396,O00165,P013,5,271.00,0.10
L000397,O00165,P010,3,211.00,0.20
L000398,O00165,P023,4,68.00,0.00
L000399,O00166,P016,1,231.00,0.20
L000400,O00166,P007,1,35.00,0.10
L000401,O00167,P021,3,249.00,0.10
L000402,O00167,P010,2,211.00,0.00
L000403,O00167,P008,4,188.00,0.00
L000404,O00167,P003,4,199.00,0%
L000405,O00168,P024,2,81.00,0.20
L000406,O00169,P016,5,231.00,0.00
L000407,O00170,P012,3,$134.00,0.05
L000408,O00171,P005,3,65.00,0.10
L000409,O00171,P018,2,269.00,0.00
L000410,O00172,P022,5,134.00,0.20
L000411,O00173,P014,1,294.00,0.20
L000412,O00174,P017,5,300.00,0.05
L000413,O00174,P019,5,78.00,0.05
L000414,O00175,P022,3,134.00,0.10
L000415,O00175,P007,1,35.00,0.05
L000416,O00176,P021,2,249.00,0.00
L000417,O00177,P017,2,300.00,0.05
L000418,O00177,P006,4,196.00,0.10
L000419,O00177,P003,1,199.00,0.20
L000420,O00178,P003,4,199.00,0.20
L000421,O00178,P019,3,78.00,0.10
L000422,O00178,P004,1,123.00,0.05
L000423,O00178,P015,5,254.00,0.00
L000424,O00179,P008,5,188.00,0.00
L000425,O00179,P019,3,78.00,0.00
L000426,O00179,P022,5,134.00,0.05
L000427,O00180,P003,4,199.00,0.20
L000428,O00180,P019,1,78.00,0.00
L000429,O00181,P021,4,249.00,0.20
L000430,O00181,P022,3,134.00,0.05
L000431,O00181,P014,1,294.00,0.00
L000432,O00181,P016,3,231.00,0.20
L000433,O00182,P021,3,249.00,0.10
L000434,O00182,P017,2,300.00,0.05
L000435,O00182,P010,2,211.00,5%
L000436,O00182,P017,1,$300.00,0.00
L000437,O00183,P004,1,123.00,0.05
L000438,O00183,P014,2,294.00,0.10
L000439,O00183,P007,3,35.00,0.10
L000440,O00183,P021,1,249.00,0.00
L000441,O00184,P021,1,249.00,0.10
L000442,O00184,P010,2,211.00,0.10
L000443,O00185,P016,3,231.00,0.10
L000444,O00185,P014,5,294.00,0.20
L000445,O00185,P006,3,196.00,0.10
L000446,O00185,P015,4,254.00,0.05
L000447,O00186,P006,5,196.00,0.00
L000448,O00186,P011,4,80.00,0.20
L000449,O00186,P024,4,81.00,0.05
L000450,O00187,P023,3,68.00,0.10
L000451,O00187,P005,3,65.00,0.05
L000452,O00187,P024,1,81.00,0.10
L000453,O00188,P013,3,271.00,0.10
L000454,O00188,P014,4,294.00,0.05
L000455,O00189,P023,2,68.00,0.05
L000456,O00189,P006,3,196.00,0.00
L000457,O00189,P023,5,68.00,0.00
L000458,O00190,P020,1,189.00,0.10
L000459,O00190,P001,1,122.00,0.10
L000460,O00191,P013,5,271.00,0.10
L000461,O00191,P023,2,68.00,0.10
L000462,O00191,P016,5,231.00,0.05
L000463,O00192,P010,2,211.00,0.05
L000464,O00193,P001,5,122.00,0.10
L000465,O00194,P009,5,$93.00,0.20
L000466,O00194,P016,3,231.00,0%
L000467,O00195,P015,1,254.00,0.00
L000468,O00195,P024,3,81.00,0.05
L000469,O00195,P015,3,254.00,0.20
L000470,O00196,P009,1,93.00,0.10
L000471,O00196,P003,2,199.00,0.00
L000472,O00196,P024,1,81.00,0.05
L000473,O00197,P004,4,123.00,0.05
L000474,O00197,P010,2,211.00,0.05
L000475,O00197,P006,2,196.00,0.00
L000476,O00198,P002,2,284.00,0.00
L000477,O00199,P002,4,284.00,0.05
L000478,O00199,P002,3,284.00,0.20
L000479,O00199,P021,4,249.00,0.05
L000480,O00200,P013,4,271.00,0.00
L000481,O00200,P012,5,134.00,0.05
L000482,O00201,P012,5,134.00,0.10
L000483,O00201,P024,4,81.00,0.10
L000484,O00201,P011,2,80.00,0.20
L000485,O00201,P018,5,269.00,0.00
L000486,O00202,P024,3,81.00,0.10
L000487,O00203,P011,4,80.00,0.10
L000488,O00203,P001,4,122.00,0.20
L000489,O00204,P021,4,249.00,0.00
L000490,O00205,P002,2,284.00,0.20
L000491,O00205,P011,4,80.00,0.20
L000492,O00205,P010,2,211.00,0.10
L000493,O00205,P012,3,134.00,0.10
L000494,O00206,P014,2,$294.00,0.10
L000495,O00206,P013,2,271.00,0.05
L000496,O00207,P018,5,269.00,0.05
L000497,O00207,P007,4,35.00,0%
L000498,O00207,P019,1,78.00,0.00
L000499,O00207,P002,5,284.00,0.00
L000500,O00208,P013,3,271.00,0.05
L000501,O00209,P007,5,35.00,0.20
L000502,O00209,P020,3,189.00,0.00
L000503,O00209,P017,1,300.00,0.10
L000504,O00209,P004,1,123.00,0.10
L000505,O00210,P020,4,189.00,0.10
L000506,O00211,P019,2,78.00,0.05
L000507,O00211,P002,1,284.00,0.20
L000508,O00211,P017,2,300.00,0.00
L000509,O00212,P015,1,254.00,0.00
L000510,O00212,P019,2,78.00,0.00
L000511,O00213,P006,2,196.00,0.10
L000512,O00213,P023,5,68.00,0.10
L000513,O00213,P013,2,271.00,0.10
L000514,O00214,P010,4,211.00,0.00
L000515,O00214,P023,5,68.00,0.20
L000516,O00215,P012,2,134.00,0.20
L000517,O00215,P011,4,80.00,0.10
L000518,O00216,P004,3,123.00,0.05
L000519,O00216,P023,2,68.00,0.10
L000520,O00216,P007,4,35.00,0.10
L000521,O00217,P006,1,196.00,0.20
L000522,O00217,P022,1,134.00,0.00
L000523,O00218,P008,1,$188.00,0.10
L000524,O00218,P002,5,284.00,0.05
L000525,O00218,P003,5,199.00,0.20
L000526,O00219,P004,4,123.00,0.00
L000527,O00219,P002,5,284.00,0.10
L000528,O00220,P018,2,269.00,5%
L000529,O00220,P016,2,231.00,0.10
L000530,O00221,P008,4,188.00,0.00
L000531,O00221,P022,3,134.00,0.20
L000532,O00221,P002,1,284.00,0.05
L000533,O00222,P001,5,122.00,0.20
L000534,O00222,P015,3,254.00,0.10
L000535,O00222,P018,1,269.00,0.00
L000536,O00222,P020,3,189.00,0.20
L000537,O00223,P024,5,81.00,0.00
L000538,O00224,P011,3,80.00,0.10
L000539,O00224,P007,3,35.00,0.05
L000540,O00224,P012,2,134.00,0.00
L000541,O00225,P010,3,211.00,0.10
L000542,O00225,P017,5,300.00,0.05
L000543,O00225,P005,4,65.00,0.10
L000544,O00225,P014,4,294.00,0.10
L000545,O00226,P005,3,65.00,0.20
L000546,O00226,P020,5,189.00,0.05
L000547,O00227,P007,4,35.00,0.10
L000548,O00228,P002,2,284.00,0.10
L000549,O00228,P012,2,134.00,0.20
L000550,O00228,P018,4,269.00,0.05
L000551,O00228,P019,4,78.00,0.20
L000552,O00229,P003,3,$199.00,0.00
L000553,O00230,P012,3,134.00,0.20
L000554,O00230,P014,4,294.00,0.00
L000555,O00231,P001,1,122.00,0.05
L000556,O00231,P019,3,78.00,0.00
L000557,O00231,P008,1,188.00,0.05
L000558,O00231,P013,4,271.00,0.00
L000559,O00232,P006,2,196.00,20%
L000560,O00232,P015,2,254.00,0.00
L000561,O00232,P018,2,269.00,0.00
L000562,O00233,P015,3,254.00,0.20
L000563,O00233,P019,4,78.00,0.20
L000564,O00234,P006,3,196.00,0.10
L000565,O00234,P002,3,284.00,0.20
L000566,O00234,P009,4,93.00,0.05
L000567,O00234,P004,5,123.00,0.20
L000568,O00235,P011,2,80.00,0.20
L000569,O00236,P002,5,284.00,0.00
L000570,O00237,P004,3,123.00,0.20
L000571,O00237,P009,2,93.00,0.00
L000572,O00237,P010,1,211.00,0.10
L000573,O00237,P019,3,78.00,0.10
L000574,O00238,P021,1,249.00,0.20
L000575,O00238,P006,2,196.00,0.05
L000576,O00238,P010,2,211.00,0.00
L000577,O00238,P010,4,211.00,0.05
L000578,O00239,P016,3,231.00,0.20
L000579,O00240,P007,3,35.00,0.20
L000580,O00241,P008,4,188.00,0.00
L000581,O00241,P011,1,$80.00,0.20
L000582,O00241,P018,1,269.00,0.00
L000583,O00241,P007,1,35.00,0.10
L000584,O00242,P001,4,122.00,0.05
L000585,O00242,P005,2,65.00,0.20
L000586,O00243,P007,2,35.00,0.05
L000587,O00243,P007,2,35.00,0.20
L000588,O00244,P009,1,93.00,0.05
L000589,O00244,P001,5,122.00,0.05
L000590,O00244,P015,5,254.00,10%
L000591,O00244,P001,4,122.00,0.20
L000592,O00245,P004,3,123.00,0.20
L000593,O00246,P019,3,78.00,0.05
L000594,O00246,P005,1,65.00,0.05
L000595,O00246,P019,3,78.00,0.05
L000596,O00246,P003,1,199.00,0.20
L000597,O00247,P001,5,122.00,0.05
L000598,O00248,P017,1,300.00,0.10
L000599,O00248,P005,2,65.00,0.20
L000600,O00248,P018,3,269.00,0.00
L000601,O00249,P024,2,81.00,0.10
L000602,O00249,P012,2,134.00,0.05
L000603,O00249,P021,3,249.00,0.00
L000604,O00249,P012,1,134.00,0.10
L000605,O00250,P002,5,284.00,0.10
L000606,O00251,P009,5,93.00,0.20
L000607,O00251,P023,2,68.00,0.05
L000608,O00251,P008,5,188.00,0.20
L000609,O00251,P019,3,78.00,0.05
L000610,O00252,P024,4,$81.00,0.05
L000611,O00253,P001,2,122.00,0.20
L000612,O00253,P022,3,134.00,0.00
L000613,O00253,P013,2,271.00,0.00
L000614,O00253,P024,4,81.00,0.10
L000615,O00254,P004,2,123.00,0.00
L000616,O00255,P010,2,211.00,0.05
L000617,O00255,P012,5,134.00,0.05
L000618,O00255,P021,2,249.00,0.00
L000619,O00256,P006,2,196.00,0.20
L000620,O00256,P004,5,123.00,0.10
L000621,O00256,P006,2,196.00,20%
L000622,O00257,P024,2,81.00,0.05
L000623,O00258,P008,3,188.00,0.05
L000624,O00259,P018,1,269.00,0.05
L000625,O00259,P016,2,231.00,0.10
L000626,O00259,P024,1,81.00,0.00
L000627,O00259,P008,4,188.00,0.20
L000628,O00260,P011,1,80.00,0.00
L000629,O00261,P021,5,249.00,0.10
L000630,O00261,P024,1,81.00,0.00
L000631,O00262,P024,4,81.00,0.20
L000632,O00262,P010,5,211.00,0.20
L000633,O00262,P017,4,300.00,0.00
L000634,O00262,P018,3,269.00,0.10
L000635,O00263,P012,1,134.00,0.05
L000636,O00263,P013,5,271.00,0.00
L000637,O00264,P019,5,78.00,0.20
L000638,O00265,P003,1,199.00,0.20
L000639,O00265,P008,3,$188.00,0.20
L000640,O00265,P006,3,196.00,0.05
L000641,O00266,P024,3,81.00,0.05
L000642,O00267,P005,5,65.00,0.10
L000643,O00267,P007,1,35.00,0.00
L000644,O00267,P017,1,300.00,0.10
L000645,O00267,P012,5,134.00,0.10
L000646,O00268,P014,3,294.00,0.10
L000647,O00268,P012,2,134.00,0.20
L000648,O00269,P010,1,211.00,0.20
L000649,O00269,P006,4,196.00,0.00
L000650,O00269,P002,1,284.00,0.10
L000651,O00269,P006,2,196.00,0.05
L000652,O00270,P001,3,122.00,20%
L000653,O00270,P016,5,231.00,0.00
L000654,O00271,P005,4,65.00,0.20
L000655,O00271,P004,5,123.00,0.00
L000656,O00272,P008,2,188.00,0.05
L000657,O00272,P011,2,80.00,0.20
L000658,O00273,P008,4,188.00,0.10
L000659,O00273,P017,5,300.00,0.05
L000660,O00273,P009,4,93.00,0.20
L000661,O00273,P014,4,294.00,0.05
L000662,O00274,P020,5,189.00,0.20
L000663,O00274,P010,4,211.00,0.20
