order_id,customer_id,order_date,channel,status
O00149,C0058,2025-09-14,Store,Completed
O00150,C0293,2025-10-26,Online,Completed
O00151,C0031,2025-04-16,Store,Completed
O00152,C0280,2025-07-11,Store,Completed
O00153,C0087,01/01/2025,Online,Completed
O00154,C0047,2025-04-14,Online,Completed
O00155,C0162,2025-10-29, web ,Completed
O00156,C0029,2025-10-16,Online,Completed
O00157,C0126,2025-07-10,Online,Completed
O00158,C0092,2025-02-26,Store,Completed
O00159,C0089,2025-01-05,Store,Completed
O00160,C0192,2025-10-07,Store,Completed
O00161,C0078,2025-08-07,Online,Completed
O00162,C0245,2025-05-31,Online, COMPLETED 
O00163,C0288,2025-09-12,Store,Completed
O00164,C0088,2025-10-09,Online,Completed
O00165,C0046,2025-08-07,Store,Completed
O00166,C0285,2025-12-09, retail ,Completed
O00167,C0019,2025-07-11,Online,Completed
O00168,C0293,2025-07-25,Store,Completed
O00169,C0060,2025-12-30,Store,Completed
O00170,C0280,2025-04-30,Online,Completed
O00171,C0208,2025-02-24,Online,Completed
O00172,C0242,12/12/2025,Online,Completed
O00173,C0188,2025-11-28,Store,Completed
O00174,C0244,2025-08-17,Store,Completed
O00175,C0181,2025-11-30,Online,Completed
O00176,C0105,2025-09-28,Online,Completed
O00177,C0236,2025-01-05, retail ,Completed
O00178,C0165,2025-07-09,Online,Completed
O00179,C0096,2025-06-18,Store,Completed
O00180,C0290,2025-11-13,Online,Completed
O00181,C0146,2025-01-23,Online,Completed
O00182,C0283,2025-03-23,Online,Cancelled
O00183,C0203,2025-02-21,Store,Completed
O00184,C0082,2025-05-26,Store,Cancelled
O00185,C0055,2025-07-13,Online, COMPLETED 
O00186,C0157,2025-04-30,Store,Completed
O00187,C0108,2025-01-23,Store,Completed
O00188,C0287,2025-12-18, web ,Completed
O00189,C0294,2025-01-20,Store,Completed
O00190,C0016,2025-06-17,Online,Completed
O00191,C0129,01/20/2025,Store,Completed
O00192,C0013,2025-03-16,Online,Completed
O00193,C0181,2025-11-25,Online,Completed
O00194,C0011,2025-08-11,Online,Completed
O00195,C0030,2025-12-11,Store,Completed
O00196,C0074,2025-05-07,Online,Completed
O00197,C0186,2025-01-14,Store,Completed
O00198,C0165,2025-08-05,Store,Completed
O00199,C0222,2025-09-29, retail ,Completed
O00200,C0001,2025-04-01,Online,Completed
O00201,C0278,2025-09-05,Store,Completed
O00202,C0039,2025-09-03,Online,Completed
O00203,C0194,2025-10-31,Store,Completed
O00204,C0147,2025-11-27,Store,Completed
O00205,C0283,2025-04-14,Store,Completed
O00206,C0215,2025-01-09,Store,Completed
O00207,C0220,2025-01-12,Online,Cancelled
O00208,C0028,2025-04-20,Store, COMPLETED 
O00209,C0230,2025-04-14,Online,Completed
O00210,C0233,07/26/2025, web ,Completed
O00211,C0056,2025-07-20,Store,Completed
O00212,C0136,2025-12-05,Online,Completed
O00213,C0121,2025-02-02,Online,Completed
O00214,C0202,2025-11-30,Online,Completed
O00215,C0190,2025-10-29,Online,Completed
O00216,C0290,2025-11-08,Online,Completed
O00217,C0239,2025-09-18,Store,Completed
O00218,C0222,2025-02-27,Online,Completed
O00219,C0009,2025-11-26,Store,Completed
O00220,C0034,2025-07-31,Store,Completed
O00221,C0123,2025-12-13, web ,Completed
O00222,C0289,2025-04-18,Store,Completed
O00223,C0217,2025-12-19,Store,Completed
O00224,C0289,2025-04-17,Online,Completed
O00225,C0173,2025-03-27,Online,Completed
O00226,C0042,2025-03-20,Store,Completed
O00227,C0240,2025-02-19,Online,Completed
O00228,C0222,2025-05-03,Store,Completed
O00229,C0299,07/19/2025,Store,Cancelled
O00230,C0042,2025-03-04,Online,Completed
O00231,C0116,2025-10-30,Online, COMPLETED 
O00232,C0209,2025-09-03, retail ,Completed
O00233,C0200,2025-05-17,Online,Completed
O00234,C0038,2025-07-04,Online,Completed
O00235,C0142,2025-03-29,Store,Completed
O00236,C0289,2025-10-14,Online,Completed
O00237,C0264,2025-09-26,Store,Completed
O00238,C0063,2025-04-16,Store,Completed
O00239,C0223,2025-08-24,Online,Completed
O00240,C0085,2025-03-02,Online,Completed
O00241,C0276,2025-06-24,Online,Completed
O00242,C0251,2025-07-26,Store,Completed
O00243,C0213,2025-03-01, retail ,Completed
O00244,C0053,2025-05-17,Online,Completed
O00245,C0210,2025-11-16,Online,Completed
O00246,C0203,2025-09-02,Online,Cancelled
O00247,C0246,2025-04-03,Online,Completed
O00248,C0251,09/03/2025,Online,Completed
O00249,C0158,2025-03-16,Store,Completed
O00250,C0021,2025-12-31,Online,Completed
O00251,C0172,2025-01-14,Store,Completed
O00252,C0222,2025-12-21,Online,Completed
O00253,C0167,2025-05-17,Online,Completed
O00254,C0267,2025-10-11, web , COMPLETED 
O00255,C0015,2025-02-24,Store,Completed
O00256,C0109,2025-03-11,Store,Completed
O00257,C0172,2025-08-13,Store,Completed
O00258,C0152,2025-12-09,Online,Completed
O00259,C0119,2025-01-25,Store,Cancelled
O00260,C0090,2025-10-26,Online,Completed
O00261,C0038,2025-03-04,Online,Cancelled
O00262,C0075,2025-10-10,Online,Completed
O00263,C0151,2025-05-28,Store,Completed
O00264,C0274,2025-06-25,Online,Completed
O00265,C0039,2025-01-24, retail ,Completed
O00266,C0049,2025-05-26,Online,Completed
O00267,C0212,08/18/2025,Online,Completed
O00268,C0021,2025-02-19,Online,Completed
O00269,C0119,2025-07-25,Online,Completed
O00270,C0106,2025-11-12,Online,Completed
O00271,C0076,2025-02-02,Store,Cancelled
O00272,C0148,2025-11-13,Store,Completed
O00273,C0066,2025-01-03,Store,Completed
O00274,C0170,2025-12-02,Online,Completed
O00275,C0235,2025-03-30,Store,Completed
O00276,C0052,2025-01-03, web ,Completed
O00277,C0012,2025-01-16,Store, CANCELLED 
O00278,C0166,2025-11-01,Online,Completed
O00279,C0286,2025-11-25,Online,Completed
O00280,C0138,2025-08-08,Store,Completed
O00281,C0228,2025-09-27,Store,Completed
O00282,C0116,2025-06-27,Online,Completed
O00283,C0041,2025-12-28,Online,Completed
O00284,C0235,2025-01-23,Online,Completed
O00285,C0295,2025-07-06,Store,Completed
O00286,C0193,08/09/2025,Online,Completed
O00287,C0049,2025-11-08, web ,Completed
O00288,C0107,2025-02-01,Online,Completed
O00289,C0226,2025-05-10,Online,Completed
O00290,C0174,2025-10-24,Online,Completed
O00291,C0027,2025-05-26,Store,Completed
O00292,C0010,2025-10-08,Store,Completed
O00293,C0189,2025-09-29,Store,Completed
O00294,C0177,2025-05-02,Online,Completed
O00295,C0122,2025-11-04,Online,Completed
O00296,C0285,2025-05-17,Store,Completed
O00297,C0094,2025-12-30,Store,Completed
O00298,C0256,2025-12-16, web ,Completed
O00299,C0186,2025-01-03,Online,Completed
O00300,C0004,2025-08-09,Online, COMPLETED 
O00301,C0095,2025-05-03,Online,Completed
O00302,C0259,2025-11-14,Online,Completed
O00303,C0105,2025-03-27,Online,Completed
O00304,C0231,2025-05-05,Online,Completed
O00305,C0104,01/20/2025,Online,Completed
O00306,C0257,2025-07-28,Store,Completed
O00307,C0236,2025-08-28,Store,Cancelled
O00308,C0259,2025-04-21,Online,Completed
O00309,C0084,2025-11-02, web ,Completed
O00310,C0285,2025-10-31,Online,Completed
O00311,C0156,2025-05-19,Online,Completed
O00312,C0085,2025-09-28,Store,Completed
O00313,C0135,2025-11-13,Online,Completed
O00314,C0107,2025-11-14,Online,Completed
O00315,C0085,2025-08-09,Store,Completed
O00316,C0215,2025-08-27,Online,Completed
O00317,C0244,2025-08-06,Online,Completed
O00318,C0299,2025-06-10,Online,Completed
O00319,C0068,2025-07-21,Store,Completed
O00320,C0245,2025-04-25, web ,Completed
O00321,C0182,2025-12-17,Store,Completed
O00322,C0146,2025-06-26,Online,Completed
O00323,C0137,2025-01-12,Store, COMPLETED 
O00324,C0271,06/03/2025,Store,Completed
O00325,C0175,2025-09-11,Online,Completed
O00326,C0233,2025-06-10,Online,Completed
O00327,C0091,2025-07-26,Online,Completed
O00328,C0051,2025-02-23,Online,Completed
O00329,C0059,2025-10-16,Store,Completed
O00330,C0287,2025-03-12,Store,Completed
O00331,C0148,2025-04-25, web ,Completed
O00332,C0181,2025-05-02,Store,Completed
O00333,C0224,2025-07-24,Store,Completed
O00334,C0129,2025-10-04,Store,Completed
O00335,C0065,2025-04-17,Online,Completed
O00336,C0263,2025-11-25,Store,Cancelled
O00337,C0198,2025-10-22,Online,Completed
O00338,C0179,2025-07-05,Online,Completed
O00339,C0183,2025-04-05,Online,Completed
O00340,C0293,2025-11-21,Store,Completed
O00341,C0203,2025-07-20,Store,Completed
O00342,C0024,2025-10-13, web ,Completed
O00343,C0100,11/14/2025,Store,Cancelled
O00344,C0156,2025-06-25,Online,Completed
O00345,C0121,2025-06-09,Store,Completed
O00346,C0183,2025-11-26,Store, CANCELLED 
O00347,C0212,2025-06-22,Store,Cancelled
O00348,C0259,2025-08-29,Online,Completed
O00349,C0109,2025-02-28,Store,Completed
O00350,C0106,2025-10-02,Online,Completed
O00351,C0188,2025-11-19,Online,Completed
O00352,C0166,2025-04-17,Store,Completed
O00353,C0176,2025-07-18, web ,Completed
O00354,C0054,2025-08-20,Store,Completed
O00355,C0136,2025-02-11,Online,Cancelled
O00356,C0041,2025-12-28,Online,Completed
O00357,C0191,2025-02-09,Store,Completed
O00358,C0155,2025-03-21,Online,Completed
O00359,C0300,2025-09-10,Online,Completed
O00360,C0264,2025-01-12,Online,Completed
O00361,C0175,2025-03-12,Store,Completed
O00362,C0231,04/14/2025,Store,Completed
O00363,C0055,2025-02-24,Online,Completed
O00364,C0182,2025-06-04, web ,Cancelled
O00365,C0195,2025-04-17,Online,Completed
O00366,C0221,2025-12-11,Online,Completed
O00367,C0254,2025-03-16,Store,Completed
O00368,C0112,2025-11-10,Online,Completed
O00369,C0224,2025-04-30,Store, COMPLETED 
O00370,C0108,2025-03-19,Store,Completed
O00371,C0294,2025-05-09,Store,Completed
O00372,C0186,2025-05-09,Store,Completed
O00373,C0134,2025-06-01,Online,Completed
O00374,C0077,2025-08-14,Online,Completed
O00375,C0127,2025-09-04, web ,Completed
O00376,C0095,2025-07-13,Store,Completed
O00377,C0131,2025-11-14,Store,Completed
O00378,C0240,2025-12-11,Online,Completed
O00379,C0100,2025-05-28,Store,Completed
O00380,C0144,2025-04-16,Online,Completed
O00381,C0231,05/01/2025,Store,Completed
O00382,C0193,2025-01-28,Store,Completed
O00383,C0181,2025-12-19,Online,Completed
O00384,C0161,2025-03-12,Store,Completed
O00385,C0022,2025-02-27,Online,Completed
O00386,C0184,2025-05-20, retail ,Completed
O00387,C0087,2025-11-06,Online,Completed
O00388,C0230,2025-05-09,Store,Completed
O00389,C0224,2025-10-15,Online,Completed
O00390,C0038,2025-11-16,Online,Completed
O00391,C0111,2025-07-29,Store,Completed
O00392,C0251,2025-03-15,Online, COMPLETED 
O00393,C0048,2025-01-25,Store,Completed
O00394,C0205,2025-10-19,Store,Cancelled
O00395,C0270,2025-01-21,Store,Completed
O00396,C0109,2025-11-07,Online,Completed
O00397,C0201,2025-10-18, retail ,Completed
O00398,C0093,2025-07-18,Online,Completed
O00399,C0213,2025-03-23,Store,Completed
O00400,C0140,07/26/2025,Store,Completed
O00401,C0029,2025-08-28,Online,Completed
O00402,C0072,2025-03-04,Online,Completed
O00403,C0204,2025-01-29,Store,Completed
O00404,C0065,2025-08-17,Store,Completed
O00405,C0145,2025-04-29,Store,Completed
O00406,C0144,2025-05-17,Online,Completed
O00407,C0093,2025-09-10,Online,Completed
O00408,C0234,2025-10-31, web ,Cancelled
O00409,C0137,2025-12-23,Online,Completed
O00410,C0109,2025-02-09,Store,Completed
O00411,C0107,2025-04-04,Store,Completed
O00412,C0260,2025-03-31,Store,Completed
O00413,C0039,2025-11-12,Online,Completed
O00414,C0299,2025-08-25,Store,Completed
O00415,C0177,2025-09-24,Store, COMPLETED 
O00416,C0256,2025-03-24,Online,Completed
O00417,C0100,2025-12-27,Store,Completed
O00418,C0036,2025-01-02,Store,Completed
O00419,C0180,05/09/2025, web ,Completed
O00420,C0125,2025-09-01,Online,Completed
O00421,C0201,2025-01-22,Online,Completed
O00422,C0222,2025-11-15,Online,Completed
O00423,C0114,2025-02-06,Online,Completed
O00424,C0040,2025-07-11,Store,Completed
O00425,C0109,2025-09-11,Online,Completed
O00426,C0002,2025-08-27,Online,Completed
O00427,C0256,2025-04-29,Online,Completed
O00428,C0224,2025-02-26,Online,Completed
O00429,C0112,2025-02-08,Store,Completed
O00430,C0250,2025-05-29, web ,Completed
O00431,C0142,2025-05-02,Store,Completed
O00432,C0223,2025-07-27,Store,Completed
O00433,C0226,2025-03-11,Store,Completed
O00434,C0080,2025-05-06,Store,Completed
O00435,C0279,2025-11-09,Store,Completed
O00436,C0153,2025-12-21,Online,Completed
O00437,C0269,2025-09-21,Store,Completed
O00438,C0086,07/29/2025,Store, COMPLETED 
O00439,C0165,2025-12-22,Online,Completed
O00440,C0095,2025-07-28,Store,Completed
O00441,C0231,2025-05-23, retail ,Completed
O00442,C0192,2025-01-09,Online,Completed
O00443,C0254,2025-03-14,Store,Completed
O00444,C0169,2025-02-19,Online,Completed
O00445,C0089,2025-07-26,Online,Completed
O00446,C0033,2025-09-11,Online,Completed
O00447,C0110,2025-05-16,Online,Completed
O00448,C0016,2025-08-28,Store,Completed
O00449,C0113,2025-12-12,Online,Completed
O00450,C0066,2025-12-17,Online,Completed
O00451,C0275,2025-08-02,Store,Completed
O00452,C0298,2025-01-07, web ,Completed
O00453,C0233,2025-01-17,Online,Cancelled
O00454,C0070,2025-07-02,Store,Completed
O00455,C0120,2025-11-18,Store,Completed
O00456,C0296,2025-05-21,Online,Completed
O00457,C0059,09/10/2025,Online,Completed
O00458,C0170,2025-08-07,Online,Completed
O00459,C0033,2025-09-27,Store,Completed
O00460,C0109,2025-06-26,Online,Cancelled
O00461,C0196,2025-10-08,Online, CANCELLED 
O00462,C0115,2025-09-06,Online,Completed
O00463,C0197,2025-06-30, web ,Completed
O00464,C0154,2025-11-15,Store,Completed
O00465,C0031,2025-12-12,Online,Cancelled
O00466,C0019,2025-07-15,Online,Completed
O00467,C0055,2025-04-10,Store,Completed
O00468,C0249,2025-06-23,Online,Completed
O00469,C0014,2025-11-23,Online,Completed
O00470,C0200,2025-08-16,Online,Completed
O00471,C0144,2025-10-04,Online,Cancelled
O00472,C0112,2025-04-08,Store,Completed
O00473,C0042,2025-01-05,Online,Completed
O00474,C0182,2025-05-04, web ,Completed
O00475,C0273,2025-06-23,Online,Cancelled
O00476,C0201,03/26/2025,Online,Completed
O00477,C0073,2025-03-14,Online,Completed
O00478,C0103,2025-02-23,Store,Completed
O00479,C0052,2025-12-30,Online,Completed
O00480,C0257,2025-09-17,Online,Completed
O00481,C0210,2025-11-16,Online,Completed
O00482,C0073,2025-07-16,Online,Completed
O00483,C0287,2025-09-02,Store,Completed
O00484,C0039,2025-09-30,Store, COMPLETED 
O00485,C0233,2025-03-10, web ,Completed
O00486,C0195,2025-07-01,Online,Cancelled
O00487,C0036,2025-10-30,Online,Completed
O00488,C0154,2025-10-09,Store,Completed
O00489,C0284,2025-10-28,Store,Completed
O00490,C0073,2025-05-27,Store,Cancelled
O00491,C0091,2025-07-14,Store,Completed
O00492,C0019,2025-09-24,Store,Completed
O00493,C0282,2025-01-19,Online,Completed
O00494,C0299,2025-07-07,Store,Completed
O00495,C0188,04/11/2025,Online,Completed
O00496,C0122,2025-07-02, web ,Completed
O00497,C0256,2025-01-02,Store,Completed
O00498,C0197,2025-10-25,Online,Completed
O00499,C0057,2025-12-21,Online,Completed
O00500,C0157,2025-04-26,Online,Completed
O00501,C0221,2025-02-20,Online,Completed
O00502,C0062,2025-01-10,Store,Completed
O00503,C0008,2025-10-05,Store,Completed
O00504,C0053,2025-11-07,Online,Completed
O00505,C0057,2025-09-03,Store,Completed
O00506,C0081,2025-01-15,Store,Completed
O00507,C0004,2025-02-20, retail , COMPLETED 
O00508,C0166,2025-04-11,Online,Completed
O00509,C0278,2025-03-29,Store,Completed
O00510,C0223,2025-09-05,Store,Completed
O00511,C0024,2025-09-26,Online,Completed
O00512,C0285,2025-06-16,Store,Completed
O00513,C0009,2025-12-09,Store,Completed
O00514,C0144,05/17/2025,Store,Completed
O00515,C0091,2025-05-04,Online,Completed
O00516,C0002,2025-05-15,Store,Completed
O00517,C0135,2025-06-04,Online,Cancelled
O00518,C0184,2025-08-15, retail ,Completed
O00519,C0098,2025-01-30,Store,Completed
O00520,C0197,2025-09-05,Online,Completed
O00521,C0047,2025-01-12,Online,Completed
O00522,C0266,2025-07-20,Online,Completed
O00523,C0223,2025-03-09,Store,Completed
O00524,C0025,2025-09-06,Store,Completed
O00525,C0106,2025-11-02,Store,Completed
O00526,C0067,2025-12-23,Store,Completed
O00527,C0188,2025-06-18,Store,Cancelled
O00528,C0104,2025-05-27,Store,Completed
O00529,C0189,2025-06-09, retail ,Completed
O00530,C0294,2025-04-24,Store, COMPLETED 
O00531,C0022,2025-01-08,Online,Completed
O00532,C0136,2025-12-11,Store,Completed
O00533,C0161,02/06/2025,Store,Completed
O00534,C0112,2025-07-12,Online,Completed
O00535,C0006,2025-11-09,Online,Completed
O00536,C0236,2025-05-04,Online,Completed
O00537,C0104,2025-01-08,Store,Completed
O00538,C0242,2025-11-23,Store,Completed
O00539,C0112,2025-02-07,Store,Completed
O00540,C0098,2025-06-20, web ,Completed
O00541,C0096,2025-03-27,Online,Completed
O00542,C0283,2025-03-01,Store,Completed
O00543,C0034,2025-06-08,Store,Completed
O00544,C0275,2025-11-13,Store,Completed
O00545,C0070,2025-06-10,Store,Completed
O00546,C0196,2025-01-06,Store,Completed
O00547,C0099,2025-11-06,Online,Completed
O00548,C0274,2025-09-22,Online,Completed
O00549,C0246,2025-06-12,Store,Completed
O00550,C0097,2025-05-20,Online,Completed
O00551,C0086,2025-05-14, web ,Completed
O00552,C0083,03/10/2025,Online,Completed
O00553,C0192,2025-12-15,Store, COMPLETED 
O00554,C0255,2025-03-01,Online,Completed
O00555,C0232,2025-10-19,Store,Completed
O00556,C0048,2025-09-29,Store,Completed
O00557,C0227,2025-08-05,Online,Completed
O00558,C0252,2025-10-23,Online,Completed
O00559,C0033,2025-12-13,Online,Completed
O00560,C0216,2025-08-21,Store,Completed
O00561,C0270,2025-08-15,Online,Completed
O00562,C0172,2025-09-13, web ,Completed
O00563,C0160,2025-11-23,Online,Completed
O00564,C0230,2025-01-30,Online,Completed
O00565,C0237,2025-06-24,Store,Completed
O00566,C0182,2025-03-17,Online,Completed
O00567,C0257,2025-07-19,Store,Completed
O00568,C0286,2025-01-15,Store,Completed
O00569,C0237,2025-08-06,Store,Completed
O00570,C0138,2025-07-12,Online,Completed
O00571,C0198,10/27/2025,Store,Completed
O00572,C0016,2025-10-22,Online,Completed
O00573,C0211,2025-08-13, web ,Completed
O00574,C0249,2025-02-13,Store,Completed
O00575,C0072,2025-07-10,Online,Cancelled
O00576,C0045,2025-02-03,Store, COMPLETED 
O00577,C0116,2025-09-22,Store,Completed
O00578,C0100,2025-09-04,Online,Completed
O00579,C0246,2025-11-16,Online,Cancelled
O00580,C0042,2025-12-21,Online,Completed
O00581,C0112,2025-01-17,Store,Completed
O00582,C0091,2025-09-09,Online,Completed
O00583,C0185,2025-10-14,Online,Completed
O00584,C0139,2025-05-08, web ,Cancelled
O00585,C0174,2025-07-14,Store,Cancelled
O00586,C0012,2025-12-15,Store,Completed
O00587,C0146,2025-05-30,Store,Completed
O00588,C0062,2025-05-23,Store,Completed
O00589,C0127,2025-07-29,Online,Completed
O00590,C0204,06/07/2025,Online,Completed
O00591,C0084,2025-01-01,Store,Completed
O00592,C0228,2025-06-11,Online,Completed
O00593,C0206,2025-05-08,Store,Completed
O00594,C0008,2025-08-14,Online,Completed
O00595,C0023,2025-01-12, retail ,Completed
O00596,C0223,2025-09-23,Online,Completed
O00597,C0036,2025-11-10,Store,Completed
O00598,C0003,2025-03-15,Online,Completed
O00599,C0112,2025-03-02,Online, COMPLETED 
O00600,C0146,2025-12-27,Store,Completed
O00601,C0153,2025-02-13,Store,Completed
O00602,C0202,2025-02-23,Online,Completed
O00603,C0039,2025-12-20,Store,Completed
O00604,C0011,2025-01-25,Store,Completed
O00605,C0244,2025-11-29,Store,Completed
O00606,C0051,2025-02-02, retail ,Completed
O00607,C0276,2025-03-15,Store,Completed
O00608,C0250,2025-09-14,Online,Completed
O00609,C0247,06/10/2025,Online,Completed
O00610,C0132,2025-01-27,Store,Completed
O00611,C0211,2025-10-26,Store,Completed
O00612,C0093,2025-11-19,Online,Completed
O00613,C0204,2025-06-27,Online,Completed
O00614,C0147,2025-05-09,Online,Completed
O00615,C0102,2025-02-07,Online,Completed
O00616,C0139,2025-11-02,Store,Completed
O00617,C0103,2025-12-25, web ,Completed
O00618,C0238,2025-12-06,Store,Completed
O00619,C0246,2025-11-29,Online,Completed
O00620,C0207,2025-05-08,Online,Completed
O00621,C0262,2025-01-07,Online,Completed
O00622,C0131,2025-03-25,Online, COMPLETED 
O00623,C0166,2025-05-23,Online,Completed
O00624,C0064,2025-07-10,Online,Completed
