return_id,order_line_id,return_date,return_quantity,reason
R00047,L000780,2025-12-21,4,Damaged
R00048,L000781,2026-01-04,5,Damaged
R00049,L000786,2025-06-12,2,Wrong item
R00050,L000800,2025-10-17,3,Wrong item
R00051,L000803,2025-03-25,2,Wrong item
R00052,L000810,2025-05-19,2,Damaged
R00053,L000815,2025-10-26,1,Wrong item
R00054,L000816,2025-10-17,1,Damaged
R00055,L000821,2025-11-20,5,Not needed
R00056,L000825,2025-07-15,2,Wrong item
R00057,L000832,2025-10-17,1,Not needed
R00058,L000842,2025-06-26,1,Damaged
R00059,L000851,2025-03-11,1,Wrong item
R00060,L000861,2025-07-31,2,Damaged
R00061,L000872,2025-02-12,1,Not needed
R00062,L000904,2025-05-17,4,Not needed
R00063,L000907,2025-06-05,1,Wrong item
R00064,L000924,2025-12-23,4,Not needed
R00065,L000925,2025-06-06,1,Not needed
R00066,L000933,2025-02-18,2,Not needed
R00067,L000946,2025-06-03,3,Damaged
R00068,L000970,2025-02-07,1,Damaged
R00069,L000979,2025-04-09,5,Wrong item
R00070,L000982,2025-04-01,1,Not needed
R00071,L000991,2025-08-21,1,Not needed
R00072,L000994,2025-05-14,1,Wrong item
R00073,L001004,2025-03-06,3,Wrong item
R00074,L001010,2025-04-11,1,Wrong item
R00075,L001016,2025-08-31,1,Damaged
R00076,L001032,2025-09-06,1,Not needed
R00077,L001043,2025-09-07,4,Wrong item
R00078,L001058,2025-05-12,1,Damaged
R00079,L001061,2025-08-18,1,Wrong item
R00080,L001062,2025-04-06,4,Damaged
R00081,L001081,2026-01-04,1,Not needed
R00082,L001096,2025-03-01,1,Damaged
R00083,L001106,2025-06-05,4,Damaged
R00084,L001138,2025-10-02,1,Not needed
R00085,L001139,2025-10-05,1,Damaged
R00086,L001146,2025-09-24,2,Damaged
R00087,L001159,2025-04-26,1,Damaged
R00088,L001174,2025-01-27,1,Not needed
R00089,L001179,2025-04-14,4,Wrong item
R00090,L001224,2025-07-19,2,Damaged
R00091,L001231,2025-11-07,2,Damaged
R00092,L001258,2025-09-08,1,Wrong item
R00093,L001286,2025-01-18,1,Wrong item
R00094,L001293,2025-11-29,1,Damaged
R00095,L001295,2025-11-10,2,Damaged
R00096,L001313,2025-12-28,1,Damaged
R00097,L001316,2025-02-22,1,Not needed
R00098,L001319,2025-07-22,4,Not needed
R00099,L001324,2025-01-16,3,Damaged
R00100,L001338,2025-11-16,4,Wrong item
R00101,L001339,2025-11-20,1,Not needed
R00102,L001348,2025-06-27,1,Wrong item
R00103,L001378,2025-09-16,2,Not needed
R00104,L001389,2025-07-17,1,Damaged
R00105,L001395,2025-07-27,1,Wrong item
R00106,L001410,2025-09-07,2,Wrong item
R00107,L001453,2025-06-26,5,Damaged
R00108,L001457,2025-01-16,1,Wrong item
R00109,L001480,2025-02-18,1,Wrong item
R00110,L001491,2025-12-28,3,Wrong item
R00111,L001530,2025-03-31,3,Damaged
R00112,L001531,2025-04-23,1,Wrong item
R00113,L001537,2025-07-31,3,Wrong item
R00114,L001542,2025-12-08,2,Damaged
R00115,L001545,2025-12-09,1,Wrong item
R00116,L001569,2026-01-17,2,Not needed
R00117,L001571,2025-09-16,2,Not needed
R00118,L001575,2025-09-26,1,Wrong item
R00119,L001580,2025-12-29,5,Not needed
R00120,L001593,2025-03-18,4,Damaged
R00121,L001597,2025-10-28,2,Wrong item
R00122,L001615,2025-09-14,3,Not needed
R00123,L001629,2025-01-16,2,Wrong item
R00124,L001634,2025-08-22,1,Damaged
R00125,L001652,2025-03-20,4,Not needed
R00126,L001653,2025-09-26,1,Wrong item
R00127,L001658,2025-07-22,3,Wrong item
R00128,L001695,2025-07-04,2,Damaged
R00129,L001700,2025-10-04,1,Wrong item
R00130,L001745,2025-03-30,2,Wrong item
R00131,L001756,2025-02-09,1,Wrong item
R00132,L001793,2025-02-07,2,Wrong item
R00133,L001795,2025-01-20,1,Not needed
R00134,L001806,2025-10-11,1,Damaged
R00135,L001815,2025-06-30,1,Wrong item
R00136,L001820,2025-10-22,4,Damaged
R00137,L001826,2025-10-24,2,Not needed
R00138,L001828,2025-10-27,1,Wrong item
R00139,L001830,2025-11-12,1,Not needed
R00140,L001836,2025-08-12,2,Wrong item
R00141,L001860,2025-09-15,1,Wrong item
R00142,L001864,2025-08-12,1,Not needed
R00143,L001886,2025-08-26,2,Damaged
R00144,L001894,2025-04-19,1,Not needed
R00145,L001901,2025-04-22,1,Not needed
R00146,L001937,2025-08-01,1,Wrong item
R00147,L001940,2026-01-06,1,Wrong item
R00148,L001944,2025-10-26,2,Not needed
R00149,L001946,2025-10-17,1,Wrong item
R00150,L001980,2025-11-08,2,Not needed
R00151,L001990,2025-02-07,1,Not needed
R00152,L002000,2025-03-24,1,Not needed
R00153,L002029,2025-12-15,1,Damaged
R00154,L002037,2025-03-23,4,Wrong item
R00155,L002071,2026-01-02,1,Not needed
R00156,L002115,2025-05-30,1,Wrong item
R00157,L002119,2025-06-16,1,Wrong item
R00158,L002144,2025-09-08,1,Damaged
R00159,L002160,2025-03-19,1,Wrong item
R00160,L002163,2025-02-27,2,Damaged
R00161,L002168,2025-03-29,2,Not needed
R00162,L002186,2025-02-05,1,Damaged
R00163,L002191,2025-01-26,1,Not needed
R00164,L002200,2025-07-03,1,Wrong item
R00165,L002205,2025-11-06,1,Not needed
R00166,L002220,2025-10-26,2,Damaged
R00167,L002275,2025-08-16,2,Damaged
R00168,L002302,2025-05-15,3,Not needed
R00169,L002319,2025-02-16,5,Not needed
R00170,L002337,2025-09-26,1,Wrong item
R00171,L002352,2025-06-29,4,Damaged
R00172,L002436,2025-06-22,1,Damaged
R00173,L002442,2025-06-21,3,Damaged
R00174,L002450,2025-11-02,1,Damaged
R00175,L002456,2025-07-08,1,Not needed
R00176,L002489,2025-07-29,5,Damaged
R00177,L002564,2025-10-21,1,Damaged
R00178,L002568,2025-04-23,2,Not needed
R00179,L002574,2025-04-06,2,Wrong item
R00180,L002582,2025-01-20,5,Not needed
R00181,L002583,2025-02-15,5,Wrong item
R00182,L002596,2025-03-11,1,Wrong item
R00183,L002604,2025-06-19,1,Not needed
R00184,L002608,2025-10-20,3,Not needed
R00185,L002617,2025-07-26,4,Wrong item
R00186,L002627,2025-07-16,3,Damaged
R00187,L002638,2025-02-07,1,Damaged
R00188,L002647,2025-04-14,2,Damaged
R00189,L002651,2025-06-05,1,Damaged
R00190,L002658,2025-04-30,1,Wrong item
R00191,L002676,2025-12-05,1,Wrong item
R00192,L002684,2025-04-10,4,Wrong item
R00193,L002722,2025-10-21,4,Wrong item
R00194,L002741,2025-04-15,1,Wrong item
R00195,L002745,2025-05-29,2,Not needed
R00196,L002758,2025-03-17,4,Damaged
R00197,L002779,2025-10-13,1,Wrong item
R00198,L002793,2025-05-29,1,Wrong item
R00199,L002794,2025-05-30,3,Not needed
R00200,L002819,2026-01-08,1,Damaged
R00201,L002821,2026-01-23,1,Wrong item
R00202,L002837,2025-08-27,1,Damaged
R00203,L002846,2025-11-28,1,Wrong item
R00204,L002885,2025-09-23,1,Wrong item
R00205,L002904,2025-09-03,3,Wrong item
R00206,L002905,2025-08-30,3,Wrong item
R00207,L002908,2025-11-05,1,Not needed
R00208,L002931,2025-10-02,1,Wrong item
R00209,L002957,2025-07-16,2,Damaged
R00210,L002959,2025-08-16,1,Wrong item
R00211,L002970,2025-01-31,1,Wrong item
R00212,L002991,2025-08-17,1,Wrong item
R00213,L003002,2025-10-19,1,Damaged
R00214,L003028,2025-08-12,2,Not needed
R00215,L003029,2025-08-26,1,Not needed
R00216,L003030,2025-08-27,2,Wrong item
R00217,L003057,2025-11-17,3,Not needed
R00218,L003069,2025-08-03,1,Not needed
R00219,L003081,2025-08-22,1,Not needed
R00220,L003103,2025-04-12,3,Not needed
R00221,L003104,2025-04-06,2,Not needed
R00222,L003106,2025-04-01,2,Wrong item
R00223,L003147,2025-07-08,5,Wrong item
R00224,L003150,2025-06-18,2,Damaged
R00225,L003151,2025-06-21,2,Not needed
R00226,L003153,2025-11-03,1,Damaged
R00227,L003163,2025-10-30,3,Damaged
R00228,L003175,2025-01-07,2,Damaged
R00229,L003191,2025-05-14,1,Not needed
R00230,L003202,2025-11-02,5,Not needed
R00231,L003217,2025-09-21,4,Damaged
R00232,L003219,2025-09-26,1,Damaged
R00233,L003221,2025-10-10,5,Wrong item
R00234,L003237,2025-05-20,1,Wrong item
R00235,L003306,2025-11-26,2,Wrong item
R00236,L003343,2025-08-14,5,Wrong item
R00237,L003344,2025-08-29,3,Wrong item
R00238,L003354,2025-09-08,3,Damaged
R00239,L003357,2025-03-07,2,Damaged
R00240,L003366,2025-09-25,3,Not needed
R00241,L003372,2025-06-07,1,Wrong item
R00242,L003393,2025-07-30,1,Not needed
R00243,L003402,2025-04-15,1,Not needed
R00244,L003403,2025-11-14,1,Not needed
R00245,L003425,2025-02-16,2,Not needed
R00246,L003437,2025-02-15,4,Not needed
R00247,L003442,2025-03-04,1,Damaged
R00248,L003446,2025-12-09,2,Not needed
R00249,L003450,2025-04-22,1,Wrong item
R00250,L003452,2025-04-14,1,Wrong item
R00251,L003454,2025-05-18,2,Damaged
R00252,L003488,2025-11-04,1,Wrong item
R00253,L003492,2026-01-13,2,Not needed
R00254,L003501,2025-09-21,1,Wrong item
R00255,L003505,2025-01-27,1,Wrong item
R00256,L003509,2025-03-29,1,Damaged
R00257,L003521,2025-08-24,1,Not needed
R00258,L003524,2025-01-24,4,Damaged
R00259,L003539,2025-10-11,1,Not needed
R00260,L003542,2026-01-01,2,Not needed
R00261,L003559,2025-04-24,3,Wrong item
R00262,L003560,2025-09-15,1,Wrong item
R00263,L003572,2025-04-25,3,Wrong item
R00264,L003580,2025-11-25,1,Wrong item
R00265,L003640,2025-06-01,2,Damaged
R00266,L003646,2025-08-10,1,Not needed
R00267,L003650,2025-06-24,5,Wrong item
R00268,L003660,2025-03-10,1,Wrong item
R00269,L003699,2025-02-05,1,Wrong item
R00270,L003700,2025-11-25,1,Damaged
R00271,L003704,2025-07-31,1,Damaged
R00272,L003713,2025-01-05,2,Damaged
R00273,L003739,2025-10-09,2,Wrong item
R00274,L003755,2025-06-22,3,Wrong item
R00275,L003767,2025-07-31,4,Not needed
R00276,L003775,2025-08-20,1,Damaged
R00277,L003797,2025-10-06,4,Wrong item
R00278,L003836,2025-06-12,1,Wrong item
R00279,L003841,2025-12-16,1,Damaged
R00280,L003854,2025-09-15,1,Not needed
R00281,L003855,2025-08-20,2,Not needed
R00282,L003880,2025-09-14,2,Damaged
R00283,L003884,2025-11-13,3,Wrong item
R00284,L003886,2025-03-29,1,Not needed
R00285,L003895,2025-04-13,3,Wrong item
R00286,L003906,2025-05-20,2,Wrong item
R00287,L003908,2025-03-01,2,Not needed
R00288,L003913,2025-01-24,1,Not needed
R00289,L003942,2025-04-16,1,Wrong item
R00290,L003970,2025-08-22,5,Not needed
R00291,L003975,2025-07-25,3,Damaged
R00292,L003979,2026-01-06,1,Not needed
R00293,L003981,2025-02-11,2,Not needed
R00294,L003984,2025-03-18,2,Damaged
R00295,L003995,2025-11-23,2,Wrong item
R00296,L004008,2025-06-11,1,Wrong item
R00297,L004011,2025-06-29,1,Damaged
R00298,L004015,2025-03-05,1,Damaged
R00299,L004016,2025-02-09,2,Not needed
R00300,L004017,2025-03-06,3,Wrong item
R00301,L004030,2025-05-25,1,Wrong item
R00302,L004045,2025-04-28,1,Damaged
R00303,L004052,2025-02-03,1,Not needed
R00304,L004060,2025-06-27,4,Wrong item
R00305,L004061,2025-06-20,2,Not needed
R00306,L004082,2025-12-26,4,Wrong item
R00307,L004095,2025-09-14,1,Damaged
R00308,L004103,2025-03-19,3,Wrong item
R00309,L004118,2025-12-31,1,Damaged
R00310,L004123,2025-08-07,1,Not needed
R00311,L004131,2025-02-12,1,Wrong item
R00312,L004134,2025-10-04,1,Damaged
R00313,L004172,2025-11-02,1,Wrong item
R00314,L004198,2025-05-20,1,Wrong item
R00315,L004200,2025-05-29,3,Wrong item
R00316,L004223,2025-04-01,2,Not needed
R00317,L004243,2025-12-24,2,Wrong item
R00318,L004247,2025-05-14,1,Not needed
R00319,L004250,2025-03-14,1,Damaged
R00320,L004281,2025-10-17,2,Not needed
R00321,L004289,2025-10-18,1,Not needed
R00322,L004290,2025-10-24,2,Wrong item
R00323,L004291,2025-07-08,1,Wrong item
R00324,L004297,2025-05-23,1,Wrong item
R00325,L004307,2025-12-06,1,Wrong item
R00326,L004329,2025-12-01,2,Not needed
R00327,L004359,2025-10-11,1,Wrong item
R00328,L004373,2025-05-31,1,Wrong item
R00329,L004394,2025-12-21,1,Not needed
R00330,L004404,2025-11-11,3,Damaged
R00331,L004412,2025-09-26,3,Damaged
R00332,L004415,2025-04-13,2,Damaged
R00333,L004419,2025-12-25,1,Wrong item
R00334,L004426,2025-09-09,2,Damaged
R00335,L004444,2025-03-06,1,Wrong item
R00001,L000024,2025-10-21,1,Not needed
R00002,L000026,2025-11-18,1,Wrong item
R00003,L000032,2025-08-08,4,Damaged
RX001,L000024,2025-10-21,999,Not needed
